.cn	Q2
南昆铁路	Q3588
南昌（江西省省会、国家旅游历史文化城市）	Q3589
南昌（江西省省会）	Q3590
南明	Q3591
南朝宋	Q3593
南朝梁	Q3594
南朝陈	Q3595
南村辍耕录	Q3596
南梁	Q3599
南欧	Q3600
南汉	Q3601
南沙群岛	Q3602
南海岛屿	Q3604
南海诸岛	Q3605
南海（中华人民共和国管辖海域）	Q3607
南渡江	Q3609
南渡（广西岑溪市南渡镇）	Q3610
南燕（五胡十六国时期政权）	Q3614
南直隶	Q3615
南美洲	Q3616
南越国	Q3619
南郡	Q3621
南阳（河南省地级市）	Q3625
南陈	Q3626
南非共和国（非洲国家）	Q3628
南齐书	Q3629
博士（研究生学位）	Q3630
博学家	Q3631
博客（网络日志）	Q3632
博尔济吉特·班第	Q3633
博尔济吉特·策棱	Q3634
博弈论（经济学学科分支）	Q3635
博格曼	Q3637
博洛尼亚（意大利艾米利亚-罗马涅大区首府）	Q3638
博雅教育（素质教育）	Q3640
占城	Q3644
占族	Q3645
占星学	Q3646
卡伦·霍妮	Q3648
卡内基·梅隆大学	Q3649
卡夫卡文学奖	Q3650
卡尔·兰塞姆·罗杰斯	Q3651
卡尔·冯·林奈	Q3652
卡尔·古斯塔夫·荣格	Q3653
卡尔·央斯基	Q3654
卡尔·波普	Q3655
卡尔·邓尼茨	Q3656
卡尔·门格尔	Q3657
卡尔·马克思（马克思主义创始人）	Q3658
卡尔·马利亚·冯·韦伯	Q3659
卡尔十六世·古斯塔夫	Q3660
卡尔（游戏dota中的英雄）	Q3663
卡拉ok	Q3666
卡梅隆·安东尼	Q3667
卡片游戏	Q3669
卡达（当代艺术家）	Q3672
卢布（俄罗斯货币单位）	Q3673
卢循	Q3674
卢怀慎	Q3675
卢慕贞	Q3676
卢森堡（卢森堡大公国）	Q3677
卢永祥	Q3678
卢沟桥（古迹）	Q3679
卢米埃尔兄弟	Q3680
卤肉饭	Q3681
卫国（周朝时期诸侯国）	Q3682
卫子夫（西汉时汉武帝第二任皇后）	Q3683
卫星云图	Q3687
卫星地图	Q3688
卫星导航	Q3690
卫诗	Q3693
卫青（西汉名将）	Q3694
印刷技术（技术方法）	Q3695
印刷术（印刷技术）	Q3696
印加帝国	Q3697
印尼华人	Q3699
印度	Q3700
印度哲学	Q3702
印度尼西亚	Q3703
印度教（世界主要宗教之一）	Q3705
印度文化	Q3706
印度板块	Q3708
印度河流域文明	Q3710
印欧语系	Q3711
危害	Q3712
卸载	Q3714
厄尔尼诺现象	Q3716
厄立特里亚	Q3717
厅局级	Q3718
历史唯物主义	Q3720
历史学家（历史记录编纂者及历史材料研究者）	Q3721
历史学（基础学科之一）	Q3722
历史比较法	Q3727
历史社会学	Q3728
历史绪论	Q3729
厉声教	Q3732
厉王	Q3733
厉麟似	Q3734
压缩机	Q3735
厘金	Q3736
原始宗教	Q3741
原始资料	Q3743
原子团	Q3744
原子序数	Q3745
原子晶格	Q3747
原子核	Q3748
原子物理学（物理学专业术语）	Q3749
原子论	Q3750
原子（物理概念）	Q3751
原恒星	Q3753
原行星盘	Q3756
原诗	Q3757
原语	Q3758
厦门	Q3759
厦门大学	Q3760
厦门港	Q3762
厦门理工学院	Q3763
去中国化	Q3765
县级市	Q3767
参与式观察	Q3769
参军戏	Q3770
参照系	Q3771
友好城市	Q3774
双名命名法	Q3777
双头垄断	Q3778
双层巴士	Q3779
双核	Q3780
双盲实验	Q3781
双纽线	Q3782
双边关系	Q3785
双重国籍	Q3787
双重束缚（心理学名词）	Q3788
双鸭山	Q3791
反分裂国家法	Q3794
反启蒙运动	Q3798
反对资产阶级自由化	Q3804
反射望远镜	Q3805
反思文学	Q3806
反恐行动	Q3807
反法西斯同盟	Q3811
反物质	Q3813
反胃	Q3814
发光二极管	Q3815
发展中国家	Q3816
发展心理学（研究心理发展规律的科学）	Q3817
发展速度	Q3818
发展（哲学名词）	Q3819
发达国家	Q3823
叔孙通	Q3824
受精卵	Q3827
变差	Q3829
变形记（卡夫卡创作中篇小说）	Q3831
变形金刚2	Q3832
变态心理学（心理学分支学科）	Q3833
叙利亚	Q3835
古代文明（文明类型）	Q3844
古典制约	Q3845
古典哲学	Q3846
古典文献	Q3847
古典时代	Q3848
古典时期	Q3850
古典社会学理论	Q3851
古典经济学	Q3852
古典经济学家	Q3853
古典音乐	Q3854
古印度	Q3855
古吉拉特邦	Q3856
古埃及	Q3857
古埃及人	Q3858
古埃及文学	Q3859
古埃及文明	Q3860
古天乐	Q3861
古尔邦节	Q3862
古巴	Q3863
古希腊人	Q3869
古希腊哲学家	Q3870
古希腊哲学（哲学学说）	Q3871
古希腊喜剧	Q3872
古希腊天文学	Q3873
古希腊悲剧	Q3874
古希腊戏剧	Q3875
古希腊文化	Q3876
古希腊文学	Q3877
古希腊（爱琴海-色雷斯文明圈的黄金时期）	Q3878
古文尚书	Q3881
古斯塔夫·基尔霍夫	Q3882
古斯塔夫·拉德布鲁赫	Q3883
古斯塔夫·霍尔斯特	Q3884
古梅	Q3885
古琴（弹拨乐器）	Q3890
古筝（弹拨乐器）	Q3891
古罗马	Q3892
古诗	Q3896
另有他路	Q3899
召虎	Q3901
可口可乐	Q3902
可执行文件	Q3903
可持续性	Q3905
可汗学院	Q3908
可汗（古代部分游牧民族首领尊号）	Q3909
可用性	Q3910
可见性	Q3913
可观测宇宙	Q3914
可视化	Q3915
可证伪性	Q3916
台东县	Q3917
台中	Q3918
台中清泉岗机场	Q3920
台儿庄古城	Q3923
台北	Q3924
台北捷运	Q3926
台北故宫博物院（中国综合性大型博物馆）	Q3927
台北松山机场	Q3928
台北都会区	Q3933
台南（台湾省下辖市）	Q3934
台州	Q3937
台湾南岛语言	Q3942
台湾地区与大陆地区人民关系条例	Q3946
台湾大学	Q3949
台湾总督府	Q3951
台湾戏曲学院	Q3952
台湾政治大学	Q3954
台湾日据时期	Q3956
台湾桃园国际机场	Q3959
台湾民主自治同盟	Q3960
台湾海峡（位于亚欧大陆与台湾岛之间的海峡）	Q3962
台湾清华大学	Q3963
台湾电力公司	Q3964
台湾电影金马奖	Q3966
台湾菜	Q3975
台湾问题	Q3979
台湾（中华人民共和国所属地区）	Q3981
台澎金马	Q3982
台球（室内体育运动）	Q3983
台风（气象学名词）	Q3985
史前学	Q3987
史可（北京籍女演员）	Q3989
史坚如	Q3990
史官	Q3992
史提尔	Q3993
史朝义	Q3995
史百惠	Q3996
史蒂夫·乔布斯（美国苹果公司联合创始人）	Q3997
史蒂文·斯皮尔伯格（美国导演）	Q3998
史蒂文·杰拉德	Q3999
史蒂芬妮·多拉	Q4000
史记	Q4001
史记索隐	Q4002
史记集解	Q4003
史诗电影	Q4004
右派分子	Q4008
叶丽仪	Q4010
叶举	Q4011
叶剑英	Q4012
叶向高	Q4013
叶圣陶	Q4014
叶城县	Q4015
叶天士	Q4016
叶护	Q4017
叶挺（中国人民解放军军事家）	Q4018
叶赫	Q4021
叶适	Q4022
叶飞（开国上将）	Q4023
司令员	Q4024
司南（中国古代辨别用仪器）	Q4025
司徒（官职名）	Q4028
司法	Q4029
司法制度	Q4032
司法机关	Q4033
司空（古代官职名）	Q4038
司马光（北宋政治家、史学家、文学家）	Q4039
司马懿（三国时期历史人物）	Q4041
司马昭（魏晋时期曹魏晋王、西晋奠基人）	Q4043
司马法	Q4044
司马炎	Q4045
司马睿	Q4046
司马贺	Q4047
司马迁（西汉史学家、散文家）	Q4048
司马道信	Q4049
合同异	Q4053
合唱（声乐演唱形式集体演唱）	Q4054
合数（数字分类基础概念）	Q4057
合法行为	Q4059
合球	Q4062
合理化作用	Q4063
合肥南站（高铁站合肥南站）	Q4065
合肥工业大学	Q4067
合肥新桥国际机场	Q4068
合肥都市圈	Q4073
合肥（安徽省省会）	Q4074
吉备真备	Q4079
吉姆·罗杰斯	Q4080
吉尔伽美什史诗	Q4082
吉尔吉斯斯坦	Q4083
吉杰	Q4086
吉林大学	Q4088
吉林大学法学院	Q4089
吉林（中华人民共和国省级行政区）	Q4090
吉瓦（功率单位）	Q4091
吉祥航空	Q4092
吉米·多纳尔·威尔士	Q4093
吊罗山	Q4095
同位素	Q4097
同位素化学	Q4098
同名三角函数	Q4099
同性婚姻	Q4101
同性恋	Q4102
同期增长	Q4104
同步辐射	Q4106
同治（清穆宗年号）	Q4109
同济大学	Q4110
同源重组	Q4111
同盟国（一战中的同盟国）	Q4112
同行评议制度	Q4114
名人堂（btv-财经脱口秀电视节目）	Q4115
名利场（英国电视剧）	Q4116
名士（皮鞋品牌）	Q4117
名校	Q4119
名词	Q4121
后凯恩斯学派	Q4122
后勤学	Q4123
后周（五代十国时期朝代）	Q4126
后周（五代的第五个朝代）	Q4127
后唐	Q4128
后四史	Q4129
后晋	Q4132
后期制作	Q4133
后期重轰炸期	Q4135
后梁（朱温建立的国（907年—923年））	Q4137
后汉（五代的第四个朝代）	Q4138
后现代主义	Q4140
后缀	Q4142
后藤新平	Q4143
后蜀	Q4144
后赵	Q4145
后金	Q4146
后黎朝	Q4147
吏部尚书	Q4148
吐蕃	Q4150
吐谷浑（中国历史政权）	Q4151
吐鲁番（新疆地级市）	Q4152
向秀	Q4156
向量（数学用语）	Q4157
吕东（东北行政委员会工业部副部长）	Q4158
吕布（东汉末年历史人物）	Q4163
吕思勉	Q4164
吕氏春秋	Q4165
吕调元（山西牺盟会领导人）	Q4166
君主制	Q4169
君主立宪制	Q4171
君主论	Q4172
吠陀	Q4175
吠陀时代	Q4176
听音乐	Q4177
启蒙时代（人类历史时代）	Q4179
启蒙运动	Q4180
吴三桂（明末清初著名政治、军事人物）	Q4181
吴伯雄	Q4182
吴佩孚	Q4183
吴兵（北京电影学院管理系制片专业副教授）	Q4184
吴军（国家一级演员）	Q4186
吴国（周朝诸侯国）	Q4187
吴夲	Q4188
吴姓	Q4189
吴孟超	Q4191
吴官正	Q4192
吴建豪	Q4194
吴德（原中央政治局委员、全国人大副委员长）	Q4195
吴承恩（中国明代杰出的小说家）	Q4196
吴敬琏	Q4198
吴昌硕（晚清民国时期艺术大师）	Q4199
吴晓邦	Q4200
吴汝纶	Q4203
吴稚晖	Q4209
吴语	Q4210
吴语（中国吴越地区语言文化）	Q4212
吴越文化（中国江浙地区文化）	Q4215
吴越（中国大陆女演员）	Q4216
吴邦国	Q4218
吴铁城（中华民国时期政治家）	Q4219
吾晟赫	Q4221
呈坎	Q4222
告白（日本2010年中岛哲也执导电影）	Q4224
周书（描述北周历史的正史）	Q4225
周亚夫（西汉时期军事家、丞相）	Q4227
周佛海	Q4229
周信芳	Q4230
周勃（汉初将领、汉文帝时丞相）	Q4233
周口	Q4234
周善培	Q4235
周姓	Q4236
周定公	Q4237
周恩来	Q4238
周恩来（无产阶级革命家）	Q4239
周扬（中国内地女演员）	Q4240
周敦颐（北宋理学家）	Q4242
周易（易经）	Q4243
周朝君主	Q4244
周朝（先秦朝代）	Q4245
周期性失业	Q4246
周杰伦	Q4247
周树	Q4248
周瑜（东汉末年名将）	Q4251
周礼（儒家经典）	Q4252
周经（明武宗时礼部尚书）	Q4253
周赤萍	Q4254
周达观	Q4255
周郑	Q4256
周鹤洋	Q4257
呼吸系统疾病	Q4260
命中注定我爱你（2008年陈乔恩、阮经天主演台湾偶像剧）	Q4262
命令提示符	Q4263
命名法	Q4266
命理学	Q4267
和声（韩国2010年康大奎执导电影）	Q4269
和平共处五项原则	Q4271
和平统一·一国两制	Q4275
和弦（乐理概念）	Q4276
和新民	Q4277
和梅	Q4278
和珅（清朝人物）	Q4279
和硕特汗国	Q4281
和硕肃亲王	Q4282
咸海	Q4285
咸淳	Q4286
哈佛大学	Q4290
哈剌哈孙	Q4291
哈勃定律	Q4292
哈大高速铁路	Q4295
哈密顿量	Q4296
哈尔滨太平国际机场	Q4297
哈尔滨工业大学	Q4298
哈尔滨工程大学	Q4299
哈尔滨港务局	Q4300
哈尔滨（黑龙江省省会、副省级市）	Q4301
哈尔滨（黑龙江省省会）	Q4302
哈拉和林	Q4304
哈拉哈河	Q4305
哈曼国际	Q4306
哈柏	Q4307
哈瓦那（古巴首都）	Q4310
哈罗德（美国喜剧电影）	Q4311
哈肯	Q4312
哈萨克斯坦	Q4315
哈萨克族	Q4316
哈萨克汗国	Q4317
哈萨克语	Q4318
哈里·s·杜鲁门（美国第33任总统）	Q4319
哈里·斯泰尔斯（英国男歌手、演员）	Q4320
哥伦比亚大学	Q4323
哥伦比亚（哥伦比亚共和国）	Q4324
哥德尔不完全性定理	Q4325
哥德巴赫猜想（世界近代三大数学难题之一）	Q4326
哲学	Q4334
哲学命题	Q4335
哲学心理学	Q4336
哲学（世界观学说、社会意识形态之一）	Q4337
哺乳纲	Q4339
唐僧（《西游记》人物）	Q4342
唐努乌梁海（图瓦旧称）	Q4344
唐太宗李世民	Q4345
唐嫣	Q4347
唐容川	Q4349
唐山（沧州市美术家协会秘书长）	Q4352
唐山（河北省地级市）	Q4353
唐律	Q4355
唐律疏议	Q4356
唐朝（中国历史朝代）	Q4361
唐纳德·克努特	Q4364
唐纳德·赫布	Q4365
唐继尧	Q4367
唐老鸭	Q4368
唐衡	Q4369
唐长安城	Q4371
唯心主义	Q4372
唯物主义	Q4373
唯物辩证法	Q4374
唯识论	Q4376
唾液	Q4378
商丘（河南省地级市）	Q4379
商业	Q4380
商务印书馆（中国大陆商务印书馆）	Q4386
商品房（市场经济条件下出售、出租房屋）	Q4389
商品粮	Q4390
商朝	Q4394
商杭高速铁路	Q4395
商标	Q4396
商汤	Q4397
商汤灭夏	Q4398
商鞅变法	Q4402
商鞅（先秦法家代表人物）	Q4403
啮齿类	Q4405
啸叫	Q4406
喀什地区	Q4407
喀喇昆仑山脉	Q4408
喀尔喀蒙古	Q4410
喀拉拉邦	Q4411
喀斯特	Q4412
喀斯特地貌	Q4413
善与恶	Q4415
喜剧（艺术类型）	Q4418
喜帕恰斯	Q4420
喜马拉雅山脉	Q4422
喷赤河	Q4424
喻国明	Q4426
嘉兴（中国浙江省地级市）	Q4430
嘉定区	Q4432
嘉约翰	Q4433
嘉里集团	Q4434
器乐	Q4435
噶尔丹策零	Q4437
四一二反革命政变	Q4439
四世纪	Q4441
四个全面（中央战略布局）	Q4442
四个现代化	Q4443
四书五经	Q4445
四人帮（文化大革命期间所结成的帮派）	Q4448
四元数	Q4449
四分之三（内地音乐组合）	Q4450
四分历	Q4451
四国（日本四国岛）	Q4453
四大名著（中国古典长篇小说四大名著）	Q4456
四大文学体裁	Q4461
四大班子	Q4464
四大高原	Q4466
四子（2017韩国电视剧）	Q4467
四川（中华人民共和国省级行政区）	Q4474
四库全书	Q4475
四库全书总目	Q4476
四星龙	Q4478
四条汉子	Q4479
四民月令	Q4480
四科	Q4483
四纵四横	Q4484
四维时空	Q4485
四色定理	Q4486
四诊	Q4487
四部医典	Q4489
四项基本原则	Q4490
回族	Q4494
回溯法	Q4495
回鹘	Q4499
因变量	Q4500
因变量（函数用语）	Q4501
因材施教	Q4502
因果关系	Q4503
因果决定论	Q4504
团体动力学	Q4507
园林建筑	Q4509
园艺	Q4512
围城（1990年陈道明主演电视剧）	Q4514
围棋世界冠军	Q4515
围棋（国际通行棋种）	Q4516
固体力学	Q4517
固体物理学	Q4518
固定汇率	Q4520
固定论	Q4521
国体	Q4526
国共内战	Q4528
国共摩擦	Q4530
国内市场	Q4531
国内生产总值	Q4534
国土安全（美国2011年迈克尔·科斯塔导演电视剧）	Q4537
国境线	Q4538
国家一级保护植物	Q4543
国家与革命	Q4544
国家中心城市	Q4545
国家主义	Q4546
国家二级保护动物	Q4548
国家体育场	Q4550
国家公园（自然保护区）	Q4551
国家公祭日	Q4553
国家区域中心城市	Q4554
国家地理学会	Q4556
国家大学生创新性实验计划	Q4557
国家实验室	Q4560
国家机器（政治术语）	Q4563
国家机构	Q4564
国家标准	Q4565
国家游泳中心	Q4566
国家级副职	Q4568
国家级非物质文化遗产名录	Q4573
国家综合配套改革试验区	Q4575
国家认同	Q4576
国家象征	Q4577
国家资本主义	Q4579
国家重点保护野生动物名录	Q4580
国家铁路局	Q4582
国家预防腐败局	Q4584
国庆节	Q4585
国有企业改革	Q4589
国有控股企业	Q4591
国歌纪念广场	Q4595
国歌（2009年文章、谷智鑫主演电视剧）	Q4596
国歌（国家象征性歌曲）	Q4597
国民会议	Q4598
国民党左派	Q4600
国民共进会	Q4602
国民大会	Q4603
国民革命	Q4607
国民革命军	Q4608
国父纪念馆（中国台北国父纪念馆）	Q4611
国立中央大学	Q4614
国籍	Q4615
国防部长	Q4622
国际企业	Q4626
国际儿童节	Q4629
国际关系	Q4632
国际单位制	Q4633
国际合作	Q4634
国际商务单证员考试	Q4636
国际地位	Q4637
国际大都市	Q4639
国际奥林匹克委员会	Q4640
国际投资	Q4644
国际政治	Q4645
国际新闻（新华社电视节目）	Q4646
国际标准	Q4650
国际标准化组织	Q4652
国际歌	Q4653
国际民用航空组织	Q4654
国际汇率	Q4655
国际法学（上海财经大学出版社出版书籍）	Q4656
国际社会	Q4659
国际社会学协会	Q4660
国际纯粹与应用化学联合会	Q4662
国际组织	Q4663
国际经济学（指研究国际经济活动和国际经济关系）	Q4664
国际航运中心	Q4668
国际货币体系	Q4671
国际货币基金组织	Q4672
国际贸易（商品和劳务的国际交换活动）	Q4674
国际金融中心	Q4678
国际金融学（金融学研究领域的分支）	Q4679
图像处理（用计算机对图像进行处理的技术）	Q4683
图像数据	Q4684
图像识别	Q4685
图兰朵（歌剧）	Q4686
图利奥	Q4687
图灵奖	Q4690
图灵机	Q4691
图灵测试	Q4692
圆形剧场	Q4695
圆柏（植物）	Q4697
圈层	Q4699
土地使用	Q4700
土地所有权	Q4703
土地租赁	Q4707
土地（土地利用规划学）	Q4711
土地（地质学名词）	Q4712
土壤化学	Q4714
土壤圈（构成自然环境的五大圈之一）	Q4716
土壤水	Q4719
土家山寨	Q4721
土家族	Q4722
土星（太阳系八颗行星之一）	Q4724
土木之变	Q4725
土木工程（科学技术）	Q4727
土木建筑	Q4728
土楼（土楼建筑）	Q4729
土耳其（土耳其共和国）	Q4732
圣严法师	Q4734
圣徒（3d动作类网游《龙之谷》中祭司的二转职业）	Q4736
圣济总录	Q4737
圣经	Q4740
在一起（2010中国电影（纪录片））	Q4744
在一起（2013年杨颖柯震东主演）	Q4745
在一起（万卷出版公司出版图书）	Q4746
在一起（羽泉演唱单曲）	Q4747
地下实验室	Q4752
地下水	Q4753
地下经济	Q4756
地中海饮食	Q4758
地图制图	Q4762
地图制图学	Q4763
地图学（一门科学）	Q4764
地图投影	Q4765
地图符号	Q4766
地图（空间分布特性图纸）	Q4767
地外生物	Q4773
地形区	Q4774
地形图	Q4775
地形地貌	Q4776
地心说	Q4777
地方戏	Q4780
地方自治	Q4783
地标	Q4786
地热能	Q4789
地球仪（《圣斗士星矢之冥王十二宫篇》片头曲）	Q4791
地球半径	Q4792
地球历史	Q4793
地球大气层	Q4794
地球形状	Q4795
地球物理学	Q4797
地球环境	Q4798
地球科学（基础学科）	Q4799
地球重力	Q4800
地球重力场	Q4801
地球（太阳系八大行星之一）	Q4802
地理位置	Q4803
地理信息科学	Q4804
地理信息系统	Q4805
地理区域	Q4807
地理坐标	Q4808
地理大发现	Q4809
地理学家（名词）	Q4810
地理学（学科分类）	Q4811
地理科学（现代自然科学分支）	Q4813
地理（地球科学学科的统称）	Q4814
地级市	Q4815
地级行政区	Q4816
地质学	Q4823
地质年代	Q4824
地铁系统	Q4826
地铁（城市轨道交通的种类）	Q4828
地震（自然现象）	Q4831
地面温度	Q4833
场论	Q4835
均变论	Q4837
均徭	Q4838
均田制	Q4839
均衡点	Q4840
坍缩	Q4842
坎宁安（英国海军元帅）	Q4843
坐标网	Q4846
坝上	Q4848
坡度	Q4851
坦克（履带式装甲战斗车辆）	Q4853
垂直结构	Q4854
垂直运动	Q4855
垄断性竞争	Q4857
埃利克·阿克塞尔·卡尔费尔德	Q4861
埃及人（埃及人口占多数的民族）	Q4863
埃及王国	Q4865
埃塞俄比亚	Q4866
埃尔顿·布兰德	Q4867
埃德蒙德·胡塞尔	Q4869
埃拉托斯特尼	Q4870
埃斯库罗斯	Q4871
埃米尔·杜尔凯姆	Q4873
埃米尔（贵族头衔）	Q4874
埃达	Q4875
埃里克·阿比达尔	Q4877
埃隆·马斯克	Q4878
城市人口	Q4882
城市化（人类社会具有现代城市特征之演化的历史过程）	Q4884
城市规划	Q4891
城市轨道交通	Q4894
城市（地理学名词）	Q4895
城镇居民	Q4900
城镇居民医疗保险	Q4901
城隍庙（福建省平和县城隍庙）	Q4904
培根（猪肉烟熏肉制品）	Q4910
基因	Q4912
基因环境	Q4913
基因组学	Q4914
基因转录	Q4915
基数效用	Q4918
基本人权	Q4920
基本单元（化学中基本单元）	Q4922
基本原则	Q4923
基本相互作用	Q4924
基本粒子（物理学名词）	Q4925
基本运算	Q4926
基督徒	Q4928
基督教	Q4929
基督教哲学	Q4930
基督教堂	Q4931
基督教教义	Q4932
基督教神学	Q4933
基石（音像制品）	Q4934
基础医学	Q4935
基础学科拔尖学生培养试验计划	Q4936
基础建设	Q4937
基础数学	Q4938
基础物理学	Q4939
基础科学研究	Q4940
基础设施建设	Q4941
基类	Q4942
基辅（乌克兰首都）	Q4943
基金	Q4944
基隆港	Q4948
基隆（台湾地名）	Q4949
基隆（台湾省北部城市）	Q4950
堆积作用	Q4951
堕胎（西医学名）	Q4952
堕落天使（1995年韩国sbs电视台制作电视剧）	Q4953
堪萨斯大学	Q4954
堪萨斯州	Q4955
塑胶	Q4957
塑身	Q4958
塔克拉玛干沙漠	Q4959
塔吉克斯坦	Q4961
塔吉克族（高原塔吉克族（中国））	Q4962
塔夫茨大学	Q4964
塔尔科特·帕森斯	Q4965
塔里木河（中国第一大内流河）	Q4966
塔里木盆地	Q4967
塞尔维亚	Q4970
塞尼卡人	Q4972
塞班系统	Q4973
填海	Q4977
境界（术语）	Q4979
增加值	Q4981
增福	Q4983
增长核算	Q4984
增长速度	Q4985
墨卡托	Q4986
墨子（墨家学派创始人及主要代表人物）	Q4988
墨家（中国古代哲学派别）	Q4989
墨海书馆	Q4990
墨西哥（墨西哥合众国）	Q4991
士林夜市	Q4994
壬戌学制	Q4996
壮族	Q4997
声学	Q4999
声学测量	Q5000
声波（《变形金刚》角色）	Q5001
处方	Q5002
处理信息	Q5003
备急千金要方	Q5004
复合年均增长率	Q5006
复数（数的概念扩展）	Q5007
复方制剂	Q5008
复旦大学	Q5009
复杂性	Q5011
复杂理论	Q5012
复杂系统	Q5013
复调音乐	Q5014
复音音乐	Q5015
夏之时	Q5017
夏令营（一种文化活动）	Q5018
夏商	Q5020
夏威夷岛	Q5023
夏威夷州	Q5024
夏威夷王国	Q5025
夏季奥林匹克运动会	Q5027
夏季残疾人奥林匹克运动会	Q5029
夏官	Q5031
夏川里美	Q5033
夏政	Q5035
夏朝	Q5037
夏本纪	Q5038
夏民	Q5039
夏礼	Q5041
夏言	Q5043
夏鼐	Q5044
外丙	Q5045
外东北	Q5046
外交关系	Q5049
外交护照	Q5051
外交政策（一国进行外交活动的基本原则和行动方针）	Q5052
外交豁免权	Q5054
外兴安岭	Q5057
外台秘要	Q5059
外商投资	Q5060
外商直接投资	Q5061
外国公司	Q5064
外壬	Q5066
外来文化	Q5074
外汇储备	Q5076
外汇汇款	Q5079
外流河	Q5081
外滩（上海外滩）	Q5082
外白渡桥	Q5084
外科手术	Q5085
外蒙古独立	Q5089
外资银行	Q5090
外部性	Q5091
外骨骼	Q5092
多元主义	Q5094
多元文化	Q5095
多拉尔·海兰察	Q5099
多神教	Q5100
多米尼加共和国	Q5101
多线程	Q5102
多细胞生物	Q5103
多重性	Q5104
多重继承	Q5105
夜郎古国（汉代西南夷中较大的一个部族）	Q5110
夜郎国	Q5111
大一统王朝	Q5112
大一统理论	Q5113
大世界游乐场	Q5115
大东海	Q5118
大中暂治	Q5120
大乘佛法	Q5123
大乘起信论	Q5124
大九湖国家湿地公园	Q5125
大亚湾核反应堆中微子实验	Q5126
大众汽车	Q5130
大佬（日本2000年北野武执导电影）	Q5132
大元通制	Q5136
大公会议	Q5137
大公报	Q5138
大关（日本清酒品牌）	Q5139
大兴安岭	Q5140
大兴安岭地区	Q5141
大军阀	Q5142
大凌河之战	Q5144
大刀进行曲	Q5145
大分水岭	Q5146
大医精诚	Q5147
大卫·休谟	Q5148
大卫·李嘉图	Q5150
大卫·韦斯利	Q5151
大卫（北京语言大学学生会副主席）	Q5152
大卫（米开朗基罗雕塑作品）	Q5153
大号（铜管乐器）	Q5155
大司马	Q5157
大同社会	Q5160
大名县	Q5161
大地水准面	Q5163
大地测量学	Q5164
大型强子对撞机	Q5167
大型计算机	Q5169
大城市（城区常住人口100至500万的城市）	Q5170
大埔区	Q5172
大学教授（朱志荣著图书）	Q5177
大学本科	Q5178
大学（高等教育组织）	Q5181
大宅院	Q5182
大小和卓叛乱	Q5186
大尺度纤维状结构	Q5188
大屠杀	Q5189
大岭山镇	Q5191
大庆油田有限责任公司	Q5196
大庆（黑龙江省省辖市）	Q5198
大开元寺	Q5201
大战（普通名词）	Q5202
大月薰	Q5204
大有（电动工具品牌名）	Q5205
大杂居小聚居	Q5206
大梁（战国时魏国都城）	Q5207
大气化学	Q5209
大气压强	Q5210
大气吸收	Q5211
大气环流	Q5213
大气科学（地球科学分支）	Q5214
大气窗口	Q5215
大洋洲	Q5220
大洋钻探计划	Q5221
大津巴布韦	Q5222
大洲	Q5224
大灵猫	Q5227
大爆炸宇宙论	Q5229
大理国	Q5230
大理白族自治州	Q5231
大码头	Q5233
大禹治水（中国国产动画片）	Q5234
大禹治水（历史典故）	Q5235
大秦铁路	Q5236
大红灯笼高高挂（1991年张艺谋执导电影）	Q5238
大脑（生物学）	Q5240
大自然的语言（竺可桢文章）	Q5241
大航海时代（历史进程）	Q5242
大英博物馆（世界四大博物馆之一）	Q5243
大英帝国	Q5244
大蒙古国（成吉思汗建立的政权）	Q5245
大豆	Q5253
大象（哺乳纲陆栖动物）	Q5254
大跃进和人民公社	Q5256
大迁徙（人口大迁徙）	Q5258
大连海事大学	Q5262
大连港	Q5263
大连理工大学	Q5264
大连（辽宁省省辖市）	Q5266
大连（辽宁省辖市）	Q5267
大都回回药物院	Q5268
大量生产	Q5269
大长山岛	Q5271
大阪	Q5272
大陆法系	Q5276
大隈重信	Q5278
大鹿岛（辽宁省丹东市东港市大鹿岛）	Q5281
大黄鱼（鱼类的一种）	Q5284
大鼓（打击乐器）	Q5285
天主教	Q5287
天主教开封总教区	Q5289
天人合一（中国哲学思想）	Q5292
天体化学	Q5293
天体测量学	Q5294
天体物理学（学科名）	Q5295
天体生物学	Q5296
天可汗	Q5299
天启宗教	Q5300
天圆地方	Q5301
天地之中历史建筑群	Q5302
天坛公园（北京—明清天坛公园）	Q5303
天天有喜（2013年穆婷婷主演电视剧）	Q5304
天子（川渝中烟工业公司品牌之一）	Q5305
天宁寺（江苏省常州市天宁寺）	Q5306
天安门广场	Q5309
天官书	Q5311
天宫一号	Q5312
天宫二号空间实验室	Q5314
天山	Q5315
天文单位	Q5317
天文历法	Q5318
天文学	Q5319
天文摄影	Q5320
天文物理学	Q5321
天文现象	Q5322
天文研究	Q5323
天文航海	Q5324
天文观测	Q5325
天文钟	Q5326
天柱县	Q5328
天柱山（安徽省安庆市潜山县山地、景区）	Q5329
天气分析	Q5331
天气现象	Q5332
天气雷达	Q5333
天气预报（最新天气状况的预测）	Q5334
天气（自然现象）	Q5335
天水	Q5336
天水呱呱	Q5337
天河二号超级计算机	Q5339
天津中医药大学	Q5340
天津条约	Q5342
天津港	Q5343
天津航空	Q5344
天津（中华人民共和国直辖市）	Q5346
天涯歌女（2008年张柏芝主演电视剧）	Q5347
天涯织女	Q5348
天然气水合物	Q5351
天然气（气体）	Q5352
