.cn	I2
区域全面经济伙伴关系	I3411
区域合作	I3412
区域地理学	I3413
医学	I3415
医学与哲学	I3416
医学教育	I3417
医家（中国理论学派）	I3418
医生（职业）	I3419
医疗保险（名词）	I3421
医疗技术	I3422
医疗补助	I3425
医药行业	I3427
医道（整形美容网络营销培训品牌）	I3428
十三科（中医术语）	I3430
十年之久	I3444
十月革命（1917年11月7日俄国苏维埃武装起义）	I3447
千禧年大奖难题	I3454
千禧（徐秉龙演唱歌曲）	I3455
千金翼方	I3456
千金要方	I3457
半导体	I3459
华东地区	I3461
华东师范大学	I3462
华东政法大学	I3463
华中地区	I3464
华为技术有限公司	I3466
华佗（东汉末年医学家）	I3469
华北地区	I3475
华南地区	I3481
华国锋	I3486
华语流行音乐	I3505
协会	I3508
单一市场	I3518
单位向量	I3521
单元剧	I3524
单方行为	I3527
单调音乐	I3529
单镜头	I3531
南亚次大陆	I3535
南京大学	I3539
南京大屠杀死难者国家公祭日	I3540
南京条约	I3544
南京（古代京城）	I3550
南京（江苏省省会、副省级市）	I3551
南北朝（中国历史时期）	I3556
南宋（中国历史朝代）	I3569
南戏	I3581
南方与北方（英国2004年丹妮拉·丹拜-阿什主演电视电影）	I3585
南方地区	I3586
南昌（江西省省会、国家旅游历史文化城市）	I3589
南朝宋	I3593
南村辍耕录	I3596
南沙群岛	I3602
南海岛屿	I3604
南海诸岛	I3605
南海（中华人民共和国管辖海域）	I3607
南美洲	I3616
南非共和国（非洲国家）	I3628
南齐书	I3629
博士（研究生学位）	I3630
博学家	I3631
博弈论（经济学学科分支）	I3635
博格曼	I3637
博雅教育（素质教育）	I3640
占星学	I3646
卡伦·霍妮	I3648
卡夫卡文学奖	I3650
卡尔·兰塞姆·罗杰斯	I3651
卡尔·古斯塔夫·荣格	I3653
卡尔·央斯基	I3654
卡尔·波普	I3655
卡尔·门格尔	I3657
卡尔·马克思（马克思主义创始人）	I3658
卡尔·马利亚·冯·韦伯	I3659
卡尔十六世·古斯塔夫	I3660
卡尔（游戏dota中的英雄）	I3663
卡拉ok	I3666
卡梅隆·安东尼	I3667
卢米埃尔兄弟	I3680
卫星云图	I3687
卫星地图	I3688
卫星定位技术	I3689
卫星导航	I3690
印刷技术（技术方法）	I3695
印刷术（印刷技术）	I3696
印加帝国	I3697
印度	I3700
印度哲学	I3702
印度尼西亚	I3703
危害	I3712
卸载	I3714
厄尔尼诺现象	I3716
历史唯物主义	I3720
历史学家（历史记录编纂者及历史材料研究者）	I3721
历史学（基础学科之一）	I3722
历史意识	I3725
历史比较法	I3727
历史社会学	I3728
历史绪论	I3729
原始宗教	I3741
原始资料	I3743
原子团	I3744
原子序数	I3745
原子晶格	I3747
原子核	I3748
原子物理学（物理学专业术语）	I3749
原子论	I3750
原子（物理概念）	I3751
原恒星	I3753
原行星	I3755
原行星盘	I3756
原语	I3758
厦门	I3759
厦门港	I3762
参与式观察	I3769
参军戏	I3770
参照系	I3771
友好城市	I3774
双名命名法	I3777
双头垄断	I3778
双核	I3780
双盲实验	I3781
双边关系	I3785
反分裂国家法	I3794
反右运动	I3797
反启蒙运动	I3798
反实证主义	I3803
反射望远镜	I3805
反思文学	I3806
反物质	I3813
反胃	I3814
发光二极管	I3815
发展中国家	I3816
发展心理学（研究心理发展规律的科学）	I3817
发展（哲学名词）	I3819
发达国家	I3823
受精卵	I3827
变差	I3829
变形记（卡夫卡创作中篇小说）	I3831
变态心理学（心理学分支学科）	I3833
古代数学	I3843
古代文明（文明类型）	I3844
古典制约	I3845
古典哲学	I3846
古典文献	I3847
古典时代	I3848
古典时代晚期	I3849
古典时期	I3850
古典社会学理论	I3851
古典经济学	I3852
古典经济学家	I3853
古典音乐	I3854
古印度	I3855
古埃及	I3857
古埃及文学	I3859
古天乐	I3861
古尔邦节	I3862
古希腊人	I3869
古希腊哲学家	I3870
古希腊哲学（哲学学说）	I3871
古希腊喜剧	I3872
古希腊天文学	I3873
古希腊悲剧	I3874
古希腊戏剧	I3875
古希腊文化	I3876
古希腊文学	I3877
古希腊（爱琴海-色雷斯文明圈的黄金时期）	I3878
古文尚书	I3881
古斯塔夫·基尔霍夫	I3882
古斯塔夫·拉德布鲁赫	I3883
古斯塔夫·霍尔斯特	I3884
古罗马	I3892
古诗	I3896
可执行文件	I3903
可持续性	I3905
可用性	I3910
可见性	I3913
可观测宇宙	I3914
可证伪性	I3916
台湾民主自治同盟	I3960
台湾海峡（位于亚欧大陆与台湾岛之间的海峡）	I3962
台湾（中华人民共和国所属地区）	I3981
史前史	I3986
史前学	I3987
史官	I3992
史蒂文·斯皮尔伯格（美国导演）	I3998
史蒂文·杰拉德	I3999
史蒂芬妮·多拉	I4000
史记	I4001
叶向高	I4013
叶天士	I4016
司令员	I4024
司南（中国古代辨别用仪器）	I4025
司法	I4029
司法制度	I4032
司法机关	I4033
司马迁（西汉史学家、散文家）	I4048
合同异	I4053
合唱（声乐演唱形式集体演唱）	I4054
合法行为	I4059
合理化作用	I4063
吉尔伽美什史诗	I4082
吉尔吉斯斯坦	I4083
吉林大学	I4088
吉林大学法学院	I4089
吉瓦（功率单位）	I4091
同位素	I4097
同位素化学	I4098
同名三角函数	I4099
同期增长	I4104
同步辐射	I4106
同治（清穆宗年号）	I4109
同源重组	I4111
同胚	I4113
同行评议制度	I4114
名人堂（btv-财经脱口秀电视节目）	I4115
名利场（英国电视剧）	I4116
名誉博士学位	I4120
名词	I4121
后凯恩斯学派	I4122
后勤学	I4123
后工业化	I4131
后期制作	I4133
后期重轰炸期	I4135
后现代主义	I4140
后缀	I4142
吏部尚书	I4148
吐鲁番（新疆地级市）	I4152
向量（数学用语）	I4157
君主论	I4172
吠陀	I4175
吠陀时代	I4176
听音乐	I4177
启蒙思想	I4178
启蒙时代（人类历史时代）	I4179
启蒙运动	I4180
吴建豪	I4194
吴汝纶	I4203
吴语（中国吴越地区语言文化）	I4212
吾晟赫	I4221
周善培	I4235
周恩来（无产阶级革命家）	I4239
周敦颐（北宋理学家）	I4242
周易（易经）	I4243
周朝（先秦朝代）	I4245
周期性失业	I4246
周瑜（东汉末年名将）	I4251
周达观	I4255
呼吸系统疾病	I4260
命名法	I4266
命理学	I4267
和声（韩国2010年康大奎执导电影）	I4269
和平共处五项原则	I4271
和平统一·一国两制	I4275
和弦（乐理概念）	I4276
和梅	I4278
哈佛大学	I4290
哈勃定律	I4292
哈密顿量	I4296
哈尔滨工业大学	I4298
哈曼国际	I4306
哈柏	I4307
哈罗德（美国喜剧电影）	I4311
哈肯	I4312
哈萨克斯坦	I4315
哈萨克语	I4318
哥伦比亚大学	I4323
哥伦比亚（哥伦比亚共和国）	I4324
哥德尔不完全性定理	I4325
哥德巴赫猜想（世界近代三大数学难题之一）	I4326
哲学	I4334
哲学命题	I4335
哲学心理学	I4336
哲学（世界观学说、社会意识形态之一）	I4337
唐容川	I4349
唐律	I4355
唐律疏议	I4356
唐朝（中国历史朝代）	I4361
唐纳德·赫布	I4365
唐老鸭	I4368
唯心主义	I4372
唯物主义	I4373
唯识论	I4376
唾液	I4378
商业	I4380
商品房（市场经济条件下出售、出租房屋）	I4389
商标	I4396
商鞅（先秦法家代表人物）	I4403
啮齿类	I4405
啸叫	I4406
喀喇昆仑山脉	I4408
喀拉拉邦	I4411
喀斯特	I4412
善与恶	I4415
喜剧（艺术类型）	I4418
喜帕恰斯	I4420
喜马拉雅山脉	I4422
器乐	I4435
四世纪	I4441
四个全面（中央战略布局）	I4442
四个现代化	I4443
四人帮（文化大革命期间所结成的帮派）	I4448
四元数	I4449
四大名著（中国古典长篇小说四大名著）	I4456
四大文学体裁	I4461
四大牧区	I4463
四川（中华人民共和国省级行政区）	I4474
四库全书	I4475
四库全书总目	I4476
四民月令	I4480
四科	I4483
四纵四横	I4484
四维时空	I4485
四色定理	I4486
四诊	I4487
四部医典	I4489
四项基本原则	I4490
回声测深仪	I4492
回族	I4494
回溯法	I4495
因变量	I4500
因变量（函数用语）	I4501
因果关系	I4503
因果决定论	I4504
团体动力学	I4507
园艺	I4512
固体力学	I4517
固体物理学	I4518
固定论	I4521
国体	I4526
国内市场	I4531
国内生产总值	I4534
国家中心城市	I4545
国家主义	I4546
国家体育场	I4550
国家区域中心城市	I4554
国家地理学会	I4556
国家机器（政治术语）	I4563
国家机构	I4564
国家游泳中心	I4566
国家资本主义	I4579
国家重点保护野生动物名录	I4580
国家预防腐败局	I4584
国庆节	I4585
国有企业改革	I4589
国歌（国家象征性歌曲）	I4597
国民革命	I4607
国民革命军	I4608
国籍	I4615
国防部长	I4622
国际企业	I4626
国际儿童节	I4629
国际关系	I4632
国际单位制	I4633
国际合作	I4634
国际商务单证员考试	I4636
国际政治	I4645
国际新闻（新华社电视节目）	I4646
国际标准化组织	I4652
国际汇率	I4655
国际法学（上海财经大学出版社出版书籍）	I4656
国际社会	I4659
国际社会学协会	I4660
国际纯粹与应用化学联合会	I4662
国际组织	I4663
国际经济学（指研究国际经济活动和国际经济关系）	I4664
国际货币体系	I4671
国际货币基金组织	I4672
国际贸易（商品和劳务的国际交换活动）	I4674
国际金融中心	I4678
国际金融学（金融学研究领域的分支）	I4679
图像处理（用计算机对图像进行处理的技术）	I4683
图像数据	I4684
图利奥	I4687
图灵奖	I4690
图灵机	I4691
图灵测试	I4692
圆形剧场	I4695
圆柏（植物）	I4697
圈层	I4699
土地使用	I4700
土地租赁	I4707
土地（土地利用规划学）	I4711
土地（地质学名词）	I4712
土壤化学	I4714
土壤圈（构成自然环境的五大圈之一）	I4716
土壤水	I4719
土家族	I4722
土星（太阳系八颗行星之一）	I4724
土木建筑	I4728
圣徒（3d动作类网游《龙之谷》中祭司的二转职业）	I4736
圣济总录	I4737
在一起（2010中国电影（纪录片））	I4744
在一起（2013年杨颖柯震东主演）	I4745
在一起（万卷出版公司出版图书）	I4746
在一起（羽泉演唱单曲）	I4747
地下实验室	I4752
地下水	I4753
地下经济	I4756
地图制图	I4762
地图制图学	I4763
地图学（一门科学）	I4764
地图投影	I4765
地图符号	I4766
地图（空间分布特性图纸）	I4767
地圆说	I4768
地外生物	I4773
地形图	I4775
地心说	I4777
地方戏	I4780
地热能	I4789
地球半径	I4792
地球历史	I4793
地球大气层	I4794
地球形状	I4795
地球物理学	I4797
地球环境	I4798
地球科学（基础学科）	I4799
地球重力	I4800
地球重力场	I4801
地球（太阳系八大行星之一）	I4802
地理位置	I4803
地理信息科学	I4804
地理信息系统	I4805
地理大发现	I4809
地理学家（名词）	I4810
地理学（学科分类）	I4811
地理科学（现代自然科学分支）	I4813
地理（地球科学学科的统称）	I4814
地级行政区	I4816
地质学	I4823
地质年代	I4824
地铁（城市轨道交通的种类）	I4828
地震（自然现象）	I4831
场论	I4835
均变论	I4837
均衡点	I4840
坍缩	I4842
坐标网	I4846
坡度	I4851
垂直运动	I4855
垄断性竞争	I4857
埃德蒙德·胡塞尔	I4869
埃拉托斯特尼	I4870
埃斯库罗斯	I4871
埃米尔·杜尔凯姆	I4873
埃米尔（贵族头衔）	I4874
埃达	I4875
埃里克·阿比达尔	I4877
城市人口	I4882
城市化（人类社会具有现代城市特征之演化的历史过程）	I4884
城市轨道交通	I4894
城镇居民	I4900
城镇居民医疗保险	I4901
培根（猪肉烟熏肉制品）	I4910
基因	I4912
基因环境	I4913
基因组学	I4914
基因转录	I4915
基数效用	I4918
基本单元（化学中基本单元）	I4922
基本原则	I4923
基本相互作用	I4924
基本粒子（物理学名词）	I4925
基督徒	I4928
基督教	I4929
基督教哲学	I4930
基督教教义	I4932
基督教神学	I4933
基石（音像制品）	I4934
基础医学	I4935
基础建设	I4937
基础数学	I4938
基础物理学	I4939
基础科学研究	I4940
基类	I4942
基金	I4944
堕胎（西医学名）	I4952
堕落天使（1995年韩国sbs电视台制作电视剧）	I4953
堪萨斯大学	I4954
堪萨斯州	I4955
塑身	I4958
塔克拉玛干沙漠	I4959
塔吉克斯坦	I4961
塔尔科特·帕森斯	I4965
塞尼卡人	I4972
填海	I4977
境界（术语）	I4979
增加值	I4981
增长核算	I4984
增长速度	I4985
墨卡托	I4986
墨子号量子科学实验卫星	I4987
墨子（墨家学派创始人及主要代表人物）	I4988
墨家（中国古代哲学派别）	I4989
墨海书馆	I4990
壮族	I4997
声学	I4999
声学测量	I5000
声波（《变形金刚》角色）	I5001
处方	I5002
处理信息	I5003
备急千金要方	I5004
复合年均增长率	I5006
复数（数的概念扩展）	I5007
复方制剂	I5008
复旦大学	I5009
复杂性	I5011
复杂理论	I5012
复杂系统	I5013
复调音乐	I5014
复音音乐	I5015
夏令营（一种文化活动）	I5018
夏季奥林匹克运动会	I5027
夏季残疾人奥林匹克运动会	I5029
夏本纪	I5038
外交关系	I5049
外交护照	I5051
外交政策（一国进行外交活动的基本原则和行动方针）	I5052
外交豁免权	I5054
外台秘要	I5059
外商直接投资	I5061
外国公司	I5064
外来文化	I5074
外汇储备	I5076
外汇汇款	I5079
外流河	I5081
外科手术	I5085
外部性	I5091
外骨骼	I5092
多元主义	I5094
多元文化	I5095
多线程	I5102
多细胞生物	I5103
多重性	I5104
多重继承	I5105
大一统理论	I5113
大东亚战争	I5117
大众汽车	I5130
大兴安岭	I5140
大兴安岭地区	I5141
大分水岭	I5146
大医精诚	I5147
大卫·休谟	I5148
大卫·李嘉图	I5150
大卫（北京语言大学学生会副主席）	I5152
大卫（米开朗基罗雕塑作品）	I5153
大地水准面	I5163
大地测量学	I5164
大型强子对撞机	I5167
大城市（城区常住人口100至500万的城市）	I5170
大学教授（朱志荣著图书）	I5177
大学（高等教育组织）	I5181
大尺度	I5187
大尺度纤维状结构	I5188
大屠杀	I5189
大有（电动工具品牌名）	I5205
大气化学	I5209
大气压强	I5210
大气吸收	I5211
大气环流	I5213
大气科学（地球科学分支）	I5214
大气窗口	I5215
大气长波	I5216
大洋钻探计划	I5221
大津巴布韦	I5222
大爆炸宇宙论	I5229
大禹治水（中国国产动画片）	I5234
大禹治水（历史典故）	I5235
大红灯笼高高挂（1991年张艺谋执导电影）	I5238
大脑（生物学）	I5240
大自然的语言（竺可桢文章）	I5241
大航海时代（历史进程）	I5242
大赦国际	I5255
大跃进和人民公社	I5256
大连港	I5263
大都回回药物院	I5268
大量生产	I5269
天主教	I5287
天人合一（中国哲学思想）	I5292
天体化学	I5293
天体测量学	I5294
天体物理学（学科名）	I5295
天体生物学	I5296
天启宗教	I5300
天圆地方	I5301
天坛公园（北京—明清天坛公园）	I5303
天山	I5315
天文单位	I5317
天文学	I5319
天文摄影	I5320
天文物理学	I5321
天文现象	I5322
天文研究	I5323
天文航海	I5324
天文观测	I5325
天文钟	I5326
天气分析	I5331
天气现象	I5332
天气雷达	I5333
天气预报（最新天气状况的预测）	I5334
天气（自然现象）	I5335
天津港	I5343
天津（中华人民共和国直辖市）	I5346
天然气水合物	I5351
天然气（气体）	I5352
天王星（太阳系八大行星之一）	I5355
天竺（古印度）	I5358
天赋观念	I5361
太仓（江苏省苏州市下辖县级市）	I5372
太医令	I5374
太医局	I5375
太医署	I5376
太医院	I5377
太史公自序	I5379
太平圣惠方（太平圣惠方）	I5386
太平洋	I5391
太极拳（中国武术中的拳法）	I5402
太空望远镜	I5407
太空（地球大气层以外的宇宙空间）	I5409
太行山脉	I5410
太阳周期	I5411
太阳病	I5412
太阳系	I5413
太阳系外行星	I5414
太阳系行星	I5415
太阳能	I5416
太阳能发电	I5417
太阳能电池	I5418
太阳质量	I5419
太阳风（物理，天文名词）	I5421
太阳（太阳系的中心天体）	I5424
失业率	I5427
头痛	I5432
夸克（物理名词）	I5435
奇性定理	I5439
奇点（数学中的概念）	I5440
奇诺	I5443
契约法	I5449
契约自由	I5450
奥兰多·布鲁姆	I5453
奥利-约翰·达尔	I5455
奥卡姆的威廉	I5457
奥古斯特·孔德	I5459
奥地利	I5460
奥地利经济学派	I5461
奥妙（著名家化品牌）	I5462
奥尔森（美国经济学家和社会学家）	I5464
奥尔特云	I5465
奥尔胡斯大学	I5466
奥尔（德国足球运动员）	I5467
奥拉夫五世	I5470
奥斯陆	I5473
奥斯陆大学	I5474
奥维德	I5481
奥美拉唑	I5482
奥肯定律	I5483
女性主义	I5495
女性心理需求	I5497
女性文学	I5498
好奇（母婴用品品牌）	I5508
好莱坞（1923年美国电影）	I5511
妈勒访天边	I5516
妈祖（以中国东南沿海为中心信仰的海神）	I5518
妊娠期	I5519
妹控	I5523
威廉·冯特	I5552
威廉·哈维	I5553
威廉·詹姆斯	I5557
威廉·赫歇尔	I5558
威廉姆·斯坦利·杰文斯	I5559
威权主义	I5561
威海新北洋数码科技股份有限公司	I5562
威理博·斯涅尔	I5563
娱乐节目	I5567
娼优	I5568
娼妓（意义）	I5569
婉娜拉·宋提查	I5571
婴儿孤独症	I5575
婴儿死亡率	I5576
婴儿（小于1周岁的儿童）	I5578
媒介	I5580
子午圈	I5587
子系统	I5593
孔子（儒家学派创始人）	I5597
孔德（法国哲学家）	I5599
孔门十哲	I5604
字符串	I5611
字节码	I5612
存在主义	I5614
存在主义心理学	I5615
存在就是被感知	I5616
存在心理治疗	I5617
孙子兵法（中国古典军事文化著作）	I5637
孙思邈（药王）	I5643
孙武（中国春秋时期军事家）	I5654
孟子（儒家经典著作）	I5690
孤立国同农业和国民经济的关系	I5698
孤立系统	I5699
学习障碍	I5704
学位论文	I5705
学位课程	I5706
学士学位	I5709
学政	I5710
学术期刊	I5711
学术界（国内大型学术期刊）	I5713
学术研讨会	I5714
学术腐败	I5715
学派	I5716
学生会	I5717
学科（词语概念）	I5719
学者（名词解析）	I5720
学问（社科综合类期刊）	I5721
孪生质数	I5723
宁波舟山港	I5730
宇宙化学	I5743
宇宙大尺度结构	I5744
宇宙学家	I5745
宇宙射线	I5746
宇宙微波背景	I5747
宇宙星体	I5748
宇宙暴涨理论	I5749
宇宙背景辐射	I5750
宇宙论	I5751
宇宙（天文学名词）	I5752
守恒量	I5758
安以轩	I5764
安全标准	I5765
安全漏洞	I5766
安娜·弗洛伊德	I5775
安德烈·塔可夫斯基	I5783
安德烈·巴赞	I5784
安德烈·舍甫琴科	I5785
安德鲁·斯图尔特·塔能鲍姆	I5787
安德鲁（英国家族制中小型跨国企业）	I5788
安徽	I5789
安慰剂	I5798
安托万-洛朗·拉瓦锡	I5799
安提基特拉机械	I5800
安瑟伦	I5804
安迪·哈格	I5812
宋代理学	I5820
宋元时期	I5822
宋慈	I5829
宋明理学（儒家哲学思想体系的分支）	I5831
完全竞争	I5847
宏内核	I5855
宏观经济学（经济学流派）	I5859
宗教信仰	I5866
宗教团体	I5867
宗教改革	I5871
宗教自由	I5873
宗教音乐	I5874
定义	I5888
定位（品牌营销名词）	I5889
定律（理论规律）	I5892
定性	I5893
定性分析	I5894
定性研究	I5895
定量研究	I5898
实体法	I5920
实分析	I5921
实变函数（数学学科术语）	I5922
实时调度	I5924
实用主义（现代哲学派别）	I5925
实证主义	I5926
实证主义思潮	I5927
实证主义社会学	I5928
实证经济学	I5929
实际成本	I5932
实验室（进行试验的场所）	I5933
实验心理学（心理学学科分支）	I5934
实验法	I5935
实验物理	I5936
实验组	I5937
实验经济学	I5938
实验设计（心理学解释）	I5939
审美价值	I5943
客家语	I5951
客观世界	I5953
客观唯心主义	I5954
室女座	I5967
宪法保障	I5973
宪法学（以宪法为研究对象的一门法学学科）	I5975
宪法（法律名）	I5978
宫廷音乐	I5984
家庭、私有制和国家的起源	I5990
家庭主妇	I5991
家庭经济学	I5996
家庭（词语概念）	I5998
家（玛丽·哈维斯提克导演电影）	I6004
宾利欧陆	I6007
宾斯	I6010
宾语	I6012
宿命（俞新昌创作小说）	I6014
密宗（佛教宗派）	I6020
密歇根大学	I6024
密码学	I6026
富兰	I6030
寒温带针叶林	I6037
寡头垄断	I6044
对位法	I6047
对外投资	I6048
对外贸易额	I6049
对应原理	I6050
对我而言，可爱的她	I6051
对数	I6053
对比试验	I6054
对流层	I6055
对照实验	I6056
对称性破缺	I6057
对象管理组织	I6061
寻根文学	I6064
寻租行为	I6065
导出类	I6066
导弹驱逐舰	I6067
导演（职业名称）	I6068
寿命	I6073
封诊式	I6083
射电天文学	I6087
射电望远镜	I6088
小儿药证直诀	I6096
小写	I6098
小冰期	I6100
小分子	I6103
小名	I6104
小品	I6105
小学（进行初等教育的学校）	I6109
小康社会	I6112
小方脉	I6115
小罗伯特·卢卡斯	I6126
小群体	I6127
小行星带	I6131
小行星（环绕太阳运动的小天体）	I6132
小说（文学体裁）	I6135
小资产阶级	I6136
小针刀	I6139
少尉	I6144
少数民族	I6148
少数民族地区	I6149
少数民族节日	I6150
少阳病	I6153
尚书（中国古籍）	I6155
就业、利息和货币通论（2005年商务印书馆出版图书）	I6163
尹文（战国时期哲学家）	I6165
尺度（生态学概念）	I6166
尼古拉·哥白尼	I6169
尼古拉斯（多义引导）	I6170
尼可拉·路易·拉卡伊	I6171
尼可罗·马基亚维利	I6172
尼尔·伍德	I6174
尼斯（法国城市nice）	I6176
尼泊尔	I6177
尼罗河（牧友皮业的主打裘皮品牌）	I6179
局部均衡	I6180
居民	I6183
屠呦呦（诺贝尔医学奖获得者、药学家）	I6191
山东（中华人民共和国省级行政区）	I6195
山脉（地形地貌）	I6208
山西（中华人民共和国省级行政区）	I6210
岐伯	I6217
岩浆岩	I6220
岩石化学	I6224
峰会	I6232
嵌入式	I6244
巢元方	I6256
工业	I6259
工业体系	I6261
工业废水	I6266
工业革命（资本主义工业化过渡阶段）	I6270
工党（英国工党）	I6277
工农业总产值	I6278
工科	I6280
工程博士	I6282
工资水平	I6286
左丘明	I6287
左季云	I6288
巫山山脉	I6302
巫教	I6303
巫术（企图借助超自然神秘力量的方术）	I6304
巴基斯坦	I6310
巴塔尼	I6311
巴尔干化	I6312
巴普提斯特·贾比考尼	I6320
巴比伦人	I6322
巴比伦数学	I6323
巴比伦（美索不达米亚平原文明古国）	I6324
巴西（巴西联邦共和国）	I6327
巴门尼德	I6330
巴鲁赫·斯宾诺莎	I6331
巴黎和会	I6332
巴黎（法国首都）	I6333
市场力量	I6335
市场均衡	I6337
市场失灵	I6338
市场失灵理论	I6339
市场机制	I6341
市场的结构	I6342
市场经济	I6343
市场经济体制	I6344
市场需求	I6346
市民社会	I6350
布丹（近代西方宪政专家）	I6353
布依族	I6354
布克奖	I6355
布尔巴基学派	I6361
布拉（日本动漫《龙珠》系列中的角色）	I6363
布气	I6366
布莱克·莱弗利	I6369
布莱兹·帕斯卡	I6370
布达拉宫（中国西藏拉萨的宫堡式建筑群）	I6375
布里丹	I6376
布鲁斯·韦恩	I6379
布鲁斯特-戴维爵士	I6380
布鲁默	I6381
师带徒	I6383
希伯来语	I6384
希尔伯特空间	I6385
希尔伯特计划	I6386
希格斯玻色子	I6388
希波战争史	I6389
希波的奥古斯丁	I6390
希罗多德	I6391
希腊	I6392
希腊化时期	I6395
希腊城邦	I6396
希腊悲剧（古希腊悲剧艺术）	I6398
希腊戏剧	I6399
希腊神话（西方神话体系之一）	I6400
帕丽斯·希尔顿（美国模特、演员、歌手）	I6402
帕凡舞	I6403
帕洛阿托	I6406
帕米尔高原	I6407
带电粒子	I6421
带薪休假	I6422
席勒（英国哲学家）	I6426
常住人口	I6427
常务委员会	I6430
干草原	I6442
平均寿命	I6451
平均预期寿命	I6456
平板电脑	I6464
平移	I6470
平行宇宙（物理学术语）	I6473
平衡理论	I6474
平阳县（浙江省下辖县）	I6476
并行计算	I6489
并购重组	I6490
幸存者（罗马尼亚电影）	I6491
幽门螺杆菌	I6498
广东	I6499
广义相对论	I6511
广告片	I6518
广场舞	I6519
广州地铁	I6526
广州塔	I6527
广州港	I6534
广州湾	I6535
广州白云国际机场	I6536
广州（广东省省会）	I6542
广播体操	I6545
广播媒体	I6548
广西壮族自治区总工会	I6554
库尔特·哥德尔	I6571
库萨的尼古拉	I6573
应然法	I6582
应用化学（应化）	I6583
应用心理学（心理学学科分支）	I6584
应用数学（应用数学专业）	I6585
应用数学（数学学科分支）	I6586
应用物理学	I6588
应用研究	I6590
应用程序接口	I6591
应用程式	I6592
应用统计学（2011年人民邮电出版社出版书籍）	I6593
庞加莱猜想	I6602
废柴联盟（美国nbc电视台出品电视剧）	I6603
康德主义	I6612
康德（伪满洲国年号）	I6613
康慨（作家、出版人）	I6614
康普顿伽玛射线天文台	I6615
廉租房	I6622
廷巴克图（地理区域）	I6633
建材	I6643
建模	I6644
建筑设计（人民邮电出版图书）	I6647
开发者社区	I6657
开尔文（热力学温度单位）	I6663
开放源代码	I6667
开放系统	I6669
开斋节	I6670
引力场	I6683
引力扰动	I6684
引力波（物理概念）	I6685
引擎（发动机）	I6686
弗兰克尔	I6690
弗兰齐斯科·彼特拉克	I6691
弗朗茨·约瑟夫·海顿	I6694
弗朗西斯·培根（英国文艺复兴时期散文家、哲学家）	I6695
弗迪南·德·索绪尔	I6697
弗里乔夫·南森	I6698
弗里德里希·威廉·尼采（德国著名哲学家）	I6699
弗里德里希·威廉·贝塞尔	I6700
弗里德里希·恩格斯	I6701
弗里茨·哈伯	I6702
张之洞（晚清名臣、洋务派代表人物）	I6711
张从正	I6716
张仲景	I6718
张功耀	I6721
张协状元	I6725
张奚若	I6733
张景岳（明代著名医学家）	I6758
张柏芝	I6760
张百熙	I6770
张筱雨	I6771
张简斋	I6772
张若昀	I6778
张量（物理中力学名称）	I6782
张靓颖	I6784
弦理论	I6790
弧度测量	I6791
弯曲时空	I6792
弱相互作用	I6794
弹性体	I6795
弹性力学（固体力学的重要分支）	I6796
强制执行（法律术语）	I6801
强子对撞机	I6803
强直性脊柱炎	I6804
归因	I6806
归宿感	I6807
归纳逻辑	I6810
当代社会学理论	I6813
录音	I6817
彗星（太阳系中的一类小天体）	I6818
彝族	I6819
彝族火把节	I6820
形式化方法	I6821
形式科学	I6822
形式语言	I6823
形而上学（亚里士多德著作）	I6826
形而上学（哲学的一个门类）	I6827
形而上（哲学名词）	I6828
彩瓷	I6830
彩砖	I6832
彼得·诺尔	I6843
彼得·阿伯拉	I6844
很久以前（烧烤店品牌）	I6849
律师（1933年威廉·惠勒执导电影）	I6851
律诗	I6852
徐寿	I6861
徐闻县	I6874
徐霞客	I6876
微信小程序	I6879
微分几何（数学分支学科之一）	I6882
微电影（名词解释）	I6886
微积分（数学概念）	I6887
微观经济学（经济学学科）	I6889
德云社	I6895
德国古典哲学	I6902
德国唯心主义	I6905
德国社会学	I6911
德国（德意志联邦共和国）	I6916
德天使	I6918
德尼·狄德罗	I6919
德意志人	I6920
德沃扎克	I6925
德谟克利特	I6928
心学	I6942
心态	I6943
心理健康（手机软件）	I6947
心理动力学	I6949
心理发展	I6951
心理学专业	I6952
心理学派	I6953
心理学研究	I6954
心理学研究方法	I6955
心理学（学科名称）	I6956
心理服务	I6958
心理治疗	I6959
心理活动	I6960
心理测评	I6961
心理状态	I6962
心理过程	I6963
心理适应	I6964
必应	I6969
忠实粉丝	I6973
快乐原则	I6976
快板书	I6977
快速傅里叶变换	I6978
怀俄明州	I6983
怀圣寺	I6984
怀疑主义	I6988
态度（心理学名词）	I6991
思想自由	I6993
思维方式	I6996
思维（人用头脑进行逻辑推导的属性、能力和过程）	I6997
性别角色	I7002
性取向	I7003
怪诞	I7005
总而言之第一季	I7019
总装机容量	I7020
总质量	I7022
恐怖主义	I7025
恐怖片	I7026
恐怖组织	I7027
恐怖袭击（极端分子人为制造不符合国际道义的攻击方式）	I7028
恐龙（蜥形纲史前动物）	I7029
恒星形成	I7030
恒星演化	I7031
悦己	I7042
悲剧的诞生	I7043
情感（心理学用词）	I7047
惜今	I7050
惠子	I7052
惠特利	I7056
惰性中微子	I7058
意大利（意大利共和国）	I7065
意志主义	I7067
意思（社交平台）	I7069
意识与潜意识	I7070
意识流	I7071
感光耦合元件	I7073
感官	I7075
感应器	I7076
慎到	I7082
