	Q1
吴越文化（中国江浙地区文化）	Q4216
吴越（中国大陆女演员）	Q4217
吴越（江浙地区的借代词）	Q4218
吴邦国	Q4219
吴铁城（中华民国时期政治家）	Q4220
吸烟区	Q4221
吾晟赫	Q4222
呈坎	Q4223
告别演说	Q4224
告白（日本2010年中岛哲也执导电影）	Q4225
周书（描述北周历史的正史）	Q4226
周二王并立	Q4227
周亚夫（西汉时期军事家、丞相）	Q4228
周代诸侯国	Q4229
周佛海	Q4230
周信芳	Q4231
周公旦（历史名人）	Q4232
周公（中国商末周初儒学奠基人）	Q4233
周勃（汉初将领、汉文帝时丞相）	Q4234
周口	Q4235
周善培	Q4236
周姓	Q4237
周定公	Q4238
周恩来	Q4239
周恩来（无产阶级革命家）	Q4240
周扬（中国内地女演员）	Q4241
周携王	Q4242
周敦颐（北宋理学家）	Q4243
周易（易经）	Q4244
周朝君主	Q4245
周朝（先秦朝代）	Q4246
周期性失业	Q4247
周杰伦	Q4248
周树	Q4249
周永康（十七届中共中央政治局委员、常委）	Q4250
周泰（游卡桌游《三国杀》武将牌）	Q4251
周瑜（东汉末年名将）	Q4252
周礼（儒家经典）	Q4253
周经（明武宗时礼部尚书）	Q4254
周赤萍	Q4255
周达观	Q4256
周郑	Q4257
周鹤洋	Q4258
呼北高速公路	Q4259
呼吸停止	Q4260
呼吸系统疾病	Q4261
呼吸道疾病	Q4262
命中注定我爱你（2008年陈乔恩、阮经天主演台湾偶像剧）	Q4263
命令提示符	Q4264
命令行界面	Q4265
命令行解释器	Q4266
命名法	Q4267
命理学	Q4268
和兴白花油	Q4269
和声（韩国2010年康大奎执导电影）	Q4270
和平共处	Q4271
和平共处五项原则	Q4272
和平共处五项基本原则	Q4273
和平奖	Q4274
和平建国纲领	Q4275
和平统一·一国两制	Q4276
和弦（乐理概念）	Q4277
和新民	Q4278
和梅	Q4279
和珅（清朝人物）	Q4280
和田地区	Q4281
和硕特汗国	Q4282
和硕肃亲王	Q4283
咨议局	Q4284
咸宁（湖北省省辖市）	Q4285
咸海	Q4286
咸淳	Q4287
哀帝	Q4288
品都斯山脉	Q4289
哈佛商业评论	Q4290
哈佛大学	Q4291
哈剌哈孙	Q4292
哈勃定律	Q4293
哈同花园	Q4294
哈大铁路	Q4295
哈大高速铁路	Q4296
哈密顿量	Q4297
哈尔滨太平国际机场	Q4298
哈尔滨工业大学	Q4299
哈尔滨工程大学	Q4300
哈尔滨港务局	Q4301
哈尔滨（黑龙江省省会、副省级市）	Q4302
哈尔滨（黑龙江省省会）	Q4303
哈尼夫思想	Q4304
哈拉和林	Q4305
哈拉哈河	Q4306
哈曼国际	Q4307
哈柏	Q4308
哈根（圣斗士星矢中的人物）	Q4309
哈瓦那大学	Q4310
哈瓦那（古巴首都）	Q4311
哈罗德（美国喜剧电影）	Q4312
哈肯	Q4313
哈药集团	Q4314
哈菲兹·阿萨德	Q4315
哈萨克斯坦	Q4316
哈萨克族	Q4317
哈萨克汗国	Q4318
哈萨克语	Q4319
哈里·s·杜鲁门（美国第33任总统）	Q4320
哈里·斯泰尔斯（英国男歌手、演员）	Q4321
哈齐高速铁路	Q4322
响水县	Q4323
哥伦比亚大学	Q4324
哥伦比亚（哥伦比亚共和国）	Q4325
哥德尔不完全性定理	Q4326
哥德巴赫猜想（世界近代三大数学难题之一）	Q4327
哥德巴赫猜想（徐迟的报告文学作品）	Q4328
哥德防线	Q4329
哥特式建筑	Q4330
哥老会	Q4331
哪吒闹海（2016年拍摄电影）	Q4332
哮喘	Q4333
哲也	Q4334
哲学	Q4335
哲学命题	Q4336
哲学心理学	Q4337
哲学（世界观学说、社会意识形态之一）	Q4338
哺乳	Q4339
哺乳纲	Q4340
唁电	Q4341
唐人街（华人在国外聚居的地区）	Q4342
唐僧（《西游记》人物）	Q4343
唐军（唐朝军队体制编制）	Q4344
唐努乌梁海（图瓦旧称）	Q4345
唐太宗李世民	Q4346
唐姓	Q4347
唐嫣	Q4348
唐家湾镇	Q4349
唐容川	Q4350
唐山大地震（同名纪录片）	Q4351
唐山港	Q4352
唐山（沧州市美术家协会秘书长）	Q4353
唐山（河北省地级市）	Q4354
唐山（邢台市隆尧县的历史名称）	Q4355
唐律	Q4356
唐律疏议	Q4357
唐朝历史	Q4358
唐朝君主	Q4359
唐朝服饰	Q4360
唐朝统一战争	Q4361
唐朝（中国历史朝代）	Q4362
唐模村	Q4363
唐汪	Q4364
唐纳德·克努特	Q4365
唐纳德·赫布	Q4366
唐绍仪	Q4367
唐继尧	Q4368
唐老鸭	Q4369
唐衡	Q4370
唐装（唐制汉服）	Q4371
唐长安城	Q4372
唯心主义	Q4373
唯物主义	Q4374
唯物辩证法	Q4375
唯真	Q4376
唯识论	Q4377
唱念做打	Q4378
唾液	Q4379
商丘（河南省地级市）	Q4380
商业	Q4381
商业模型	Q4382
商业模式	Q4383
商业环境（传统商业形式化的主要载体）	Q4384
商业电台	Q4385
商业贸易	Q4386
商务印书馆（中国大陆商务印书馆）	Q4387
商务旅游	Q4388
商博良（江南作品《九州·飘零书·商博良》人物）	Q4389
商品房（市场经济条件下出售、出租房屋）	Q4390
商品粮	Q4391
商品粮基地	Q4392
商圈	Q4393
商帮	Q4394
商朝	Q4395
商杭高速铁路	Q4396
商标	Q4397
商汤	Q4398
商汤灭夏	Q4399
商汤（古代君主）	Q4400
商用电脑	Q4401
商贸流通业	Q4402
商鞅变法	Q4403
商鞅（先秦法家代表人物）	Q4404
啤酒	Q4405
啮齿类	Q4406
啸叫	Q4407
喀什地区	Q4408
喀喇昆仑山脉	Q4409
喀喇沁左翼蒙古族自治县	Q4410
喀尔喀蒙古	Q4411
喀拉拉邦	Q4412
喀斯特	Q4413
喀斯特地貌	Q4414
喀麦隆	Q4415
善与恶	Q4416
善后会议	Q4417
善后大借款	Q4418
喜剧（艺术类型）	Q4419
喜嘉理	Q4420
喜帕恰斯	Q4421
喜来登	Q4422
喜马拉雅山脉	Q4423
喷绘	Q4424
喷赤河	Q4425
喷雾	Q4426
喻国明	Q4427
嗣法	Q4428
嘉兴市二十一世纪外国语学校	Q4429
嘉兴府	Q4430
嘉兴（中国浙江省地级市）	Q4431
嘉南平原	Q4432
嘉定区	Q4433
嘉约翰	Q4434
嘉里集团	Q4435
器乐	Q4436
噪声污染	Q4437
噶尔丹策零	Q4438
噶玛兰族	Q4439
四一二反革命政变	Q4440
四不一没有	Q4441
四世纪	Q4442
四个全面（中央战略布局）	Q4443
四个现代化	Q4444
四中全会	Q4445
四书五经	Q4446
四书（基本概念）	Q4447
四五运动	Q4448
四人帮（文化大革命期间所结成的帮派）	Q4449
四元数	Q4450
四分之三（内地音乐组合）	Q4451
四分历	Q4452
四合院（中国传统四合院）	Q4453
四国（日本四国岛）	Q4454
四在农家	Q4455
四大发明（中国古代四大发明）	Q4456
四大名著（中国古典长篇小说四大名著）	Q4457
四大名镇	Q4458
四大天王（佛教中四位护法天神）	Q4459
四大寇（《水浒传》中的四大反贼）	Q4460
四大寇（反清“四大寇”）	Q4461
四大文学体裁	Q4462
四大汗国	Q4463
四大牧区	Q4464
四大班子	Q4465
四大米市	Q4466
四大高原	Q4467
四子（2017韩国电视剧）	Q4468
四川保路运动	Q4469
四川北路	Q4470
四川和重庆	Q4471
四川总督	Q4472
四川盆地	Q4473
四川省都江堰	Q4474
四川（中华人民共和国省级行政区）	Q4475
四库全书	Q4476
四库全书总目	Q4477
四方集团	Q4478
四星龙	Q4479
四条汉子	Q4480
四民月令	Q4481
四清	Q4482
四渡赤水（红军长征中的战役）	Q4483
四科	Q4484
四纵四横	Q4485
四维时空	Q4486
四色定理	Q4487
四诊	Q4488
四谛	Q4489
四部医典	Q4490
四项基本原则	Q4491
回国	Q4492
回声测深仪	Q4493
回归年	Q4494
回族	Q4495
回溯法	Q4496
回疆	Q4497
回辉村（海南省三亚市凤凰镇回辉村）	Q4498
回辉话	Q4499
回鹘	Q4500
因变量	Q4501
因变量（函数用语）	Q4502
因材施教	Q4503
因果关系	Q4504
因果决定论	Q4505
因果轮回	Q4506
因缘和合	Q4507
团体动力学	Q4508
团员	Q4509
园林建筑	Q4510
园林绿化	Q4511
园林（特定培养的自然环境和游憩境域）	Q4512
园艺	Q4513
围场满族蒙古族自治县	Q4514
围城（1990年陈道明主演电视剧）	Q4515
围棋世界冠军	Q4516
围棋（国际通行棋种）	Q4517
固体力学	Q4518
固体物理学	Q4519
固始县	Q4520
固定汇率	Q4521
固定论	Q4522
固镇县	Q4523
国产汽车	Q4524
国人暴动	Q4525
国会纵火案	Q4526
国体	Q4527
国信证券股份有限公司	Q4528
国共内战	Q4529
国共冲突	Q4530
国共摩擦	Q4531
国内市场	Q4532
国内旅游	Q4533
国内旅游收入	Q4534
国内生产总值	Q4535
国务院侨务办公室	Q4536
国华纪念中学	Q4537
国土安全（美国2011年迈克尔·科斯塔导演电视剧）	Q4538
国境线	Q4539
国学启蒙	Q4540
国学（中国传统思想文化学术）	Q4541
国宴	Q4542
国家aaaa级旅游景区	Q4543
国家一级保护植物	Q4544
国家与革命	Q4545
国家中心城市	Q4546
国家主义	Q4547
国家主权	Q4548
国家二级保护动物	Q4549
国家会展中心（上海）	Q4550
国家体育场	Q4551
国家公园（自然保护区）	Q4552
国家公祭	Q4553
国家公祭日	Q4554
国家区域中心城市	Q4555
国家历史文化名城	Q4556
国家地理学会	Q4557
国家大学生创新性实验计划	Q4558
国家安全（中文词汇）	Q4559
国家宏观调控	Q4560
国家实验室	Q4561
国家承认	Q4562
国家政权	Q4563
国家机器（政治术语）	Q4564
国家机构	Q4565
国家标准	Q4566
国家游泳中心	Q4567
国家社会主义	Q4568
国家级副职	Q4569
国家级新区	Q4570
国家级正职	Q4571
国家级经济技术开发区	Q4572
国家级自然保护区	Q4573
国家级非物质文化遗产名录	Q4574
国家统一纲领	Q4575
国家综合配套改革试验区	Q4576
国家认同	Q4577
国家象征	Q4578
国家财政	Q4579
国家资本主义	Q4580
国家重点保护野生动物名录	Q4581
国家重点实验室	Q4582
国家铁路局	Q4583
国家音乐厅	Q4584
国家预防腐败局	Q4585
国庆节	Q4586
国强（新品种杏树）	Q4587
国教	Q4588
国旗（国家标志性旗帜）	Q4589
国有企业改革	Q4590
国有化政策	Q4591
国有控股企业	Q4592
国有经济	Q4593
国有铁路	Q4594
国有银行（国家拥有的银行）	Q4595
国歌纪念广场	Q4596
国歌（2009年文章、谷智鑫主演电视剧）	Q4597
国歌（国家象征性歌曲）	Q4598
国民会议	Q4599
国民党中央党部	Q4600
国民党左派	Q4601
国民公党	Q4602
国民共进会	Q4603
国民大会	Q4604
国民教育	Q4605
国民生产总值	Q4606
国民经济	Q4607
国民革命	Q4608
国民革命军	Q4609
国民革命军第五军	Q4610
国民革命军第十九路军	Q4611
国父纪念馆（中国台北国父纪念馆）	Q4612
国画（中国传统绘画形式）	Q4613
国祚	Q4614
国立中央大学	Q4615
国籍	Q4616
国籍法	Q4617
国色（手表品牌）	Q4618
国酒	Q4619
国防军陆军总司令部	Q4620
国防服役章	Q4621
国防部	Q4622
国防部长	Q4623
国防预算	Q4624
国际a类电影节	Q4625
国际交换	Q4626
国际企业	Q4627
国际体育	Q4628
国际体育组织	Q4629
国际儿童节	Q4630
国际公认	Q4631
国际共产主义运动	Q4632
国际关系	Q4633
国际单位制	Q4634
国际合作	Q4635
国际商会	Q4636
国际商务单证员考试	Q4637
国际地位	Q4638
国际基金	Q4639
国际大都市	Q4640
国际奥林匹克委员会	Q4641
国际奥林匹克竞赛	Q4642
国际市场（商品交换的空间）	Q4643
国际形势	Q4644
国际投资	Q4645
国际政治	Q4646
国际新闻（新华社电视节目）	Q4647
国际旅游	Q4648
国际旅游者	Q4649
国际机场（开通有国际（地区）航线的口岸机场）	Q4650
国际标准	Q4651
国际标准书号	Q4652
国际标准化组织	Q4653
国际歌	Q4654
国际民用航空组织	Q4655
国际汇率	Q4656
国际法学（上海财经大学出版社出版书籍）	Q4657
国际电影制片人协会	Q4658
国际电影节	Q4659
国际社会	Q4660
国际社会学协会	Q4661
国际空间站（一项国际太空合作计划）	Q4662
国际纯粹与应用化学联合会	Q4663
国际组织	Q4664
国际经济学（指研究国际经济活动和国际经济关系）	Q4665
国际经济组织	Q4666
国际联盟	Q4667
国际航线	Q4668
国际航运中心	Q4669
国际视野（国际视野）	Q4670
国际象棋（国际通行棋种）	Q4671
国际货币体系	Q4672
国际货币基金组织	Q4673
国际货运	Q4674
国际贸易（商品和劳务的国际交换活动）	Q4675
国际足联世界杯	Q4676
国际足联女子世界杯	Q4677
国际重要湿地	Q4678
国际金融中心	Q4679
国际金融学（金融学研究领域的分支）	Q4680
国际音乐节	Q4681
图书出版	Q4682
图书馆学	Q4683
图像处理（用计算机对图像进行处理的技术）	Q4684
图像数据	Q4685
图像识别	Q4686
图兰朵（歌剧）	Q4687
图利奥	Q4688
图形界面	Q4689
图案（有装饰意味的花纹或图形）	Q4690
图灵奖	Q4691
图灵机	Q4692
图灵测试	Q4693
图版游戏	Q4694
图腾（文化标志）	Q4695
圆形剧场	Q4696
圆明园（清代著名皇家园林）	Q4697
圆柏（植物）	Q4698
圆领	Q4699
圈层	Q4700
土地使用	Q4701
土地兼并	Q4702
土地开垦	Q4703
土地所有权	Q4704
土地批租	Q4705
土地改革运动	Q4706
土地神	Q4707
土地租赁	Q4708
土地资源	Q4709
土地集体所有制	Q4710
土地面积	Q4711
土地（土地利用规划学）	Q4712
土地（地质学名词）	Q4713
土壤侵蚀	Q4714
土壤化学	Q4715
土壤发生层	Q4716
土壤圈（构成自然环境的五大圈之一）	Q4717
土壤普查	Q4718
土壤有机质含量	Q4719
土壤水	Q4720
土壤污染	Q4721
土家山寨	Q4722
土家族	Q4723
土山湾	Q4724
土星（太阳系八颗行星之一）	Q4725
土木之变	Q4726
土木堡	Q4727
土木工程（科学技术）	Q4728
土木建筑	Q4729
土楼（土楼建筑）	Q4730
土石流	Q4731
土窑（建筑）	Q4732
土耳其（土耳其共和国）	Q4733
土著文化	Q4734
圣严法师	Q4735
圣座	Q4736
圣徒（3d动作类网游《龙之谷》中祭司的二转职业）	Q4737
圣济总录	Q4738
圣祖（傲天无痕著小说）	Q4739
圣约翰大学（上海教会大学）	Q4740
圣经	Q4741
圣荷西州立大学	Q4742
圣莫里茨	Q4743
圣骑士（网络游戏《地下城与勇士》职业）	Q4744
在一起（2010中国电影（纪录片））	Q4745
在一起（2013年杨颖柯震东主演）	Q4746
在一起（万卷出版公司出版图书）	Q4747
在一起（羽泉演唱单曲）	Q4748
在东莞	Q4749
在理教	Q4750
在野党	Q4751
圩区	Q4752
地下实验室	Q4753
地下水	Q4754
地下游击队	Q4755
地下湖	Q4756
地下经济	Q4757
地下通道（贯穿一些非面型的交通网道）	Q4758
地中海饮食	Q4759
地动仪	Q4760
地区生产总值	Q4761
地区航线	Q4762
地图制图	Q4763
地图制图学	Q4764
地图学（一门科学）	Q4765
地图投影	Q4766
地图符号	Q4767
地图（空间分布特性图纸）	Q4768
地圆说	Q4769
地址空间	Q4770
地坪乡	Q4771
地域文化	Q4772
地壳变动	Q4773
地外生物	Q4774
地形区	Q4775
地形图	Q4776
地形地貌	Q4777
地心说	Q4778
地拉那	Q4779
地接社	Q4780
地方戏	Q4781
地方法院	Q4782
地方特产	Q4783
地方自治	Q4784
地方铁路	Q4785
地板（建筑材料）	Q4786
地标	Q4787
地沟油	Q4788
地热发电	Q4789
地热能	Q4790
地狱领主	Q4791
地球仪（《圣斗士星矢之冥王十二宫篇》片头曲）	Q4792
地球半径	Q4793
地球历史	Q4794
地球大气层	Q4795
地球形状	Q4796
地球村（词语）	Q4797
地球物理学	Q4798
地球环境	Q4799
地球科学（基础学科）	Q4800
地球重力	Q4801
地球重力场	Q4802
地球（太阳系八大行星之一）	Q4803
地理位置	Q4804
地理信息科学	Q4805
地理信息系统	Q4806
地理区位	Q4807
地理区域	Q4808
地理坐标	Q4809
地理大发现	Q4810
地理学家（名词）	Q4811
地理学（学科分类）	Q4812
地理标志产品	Q4813
地理科学（现代自然科学分支）	Q4814
地理（地球科学学科的统称）	Q4815
地级市	Q4816
地级行政区	Q4817
地缘优势	Q4818
地花鼓	Q4819
地藏菩萨（佛教四大菩萨之一）	Q4820
地表径流	Q4821
地貌特征	Q4822
地貌类型	Q4823
地质学	Q4824
地质年代	Q4825
地质构造	Q4826
地铁系统	Q4827
地铁车站（城市车站）	Q4828
地铁（城市轨道交通的种类）	Q4829
地震带	Q4830
地震级数	Q4831
地震（自然现象）	Q4832
地面沉降	Q4833
地面温度	Q4834
地面（建筑学名词）	Q4835
场论	Q4836
坂田银时	Q4837
均变论	Q4838
均徭	Q4839
均田制	Q4840
均衡点	Q4841
均输	Q4842
坍缩	Q4843
坎宁安（英国海军元帅）	Q4844
坎特伯雷故事集	Q4845
坐忘	Q4846
坐标网	Q4847
坐轿	Q4848
坝上	Q4849
坠子戏	Q4850
坡屋顶	Q4851
坡度	Q4852
坤宁宫	Q4853
坦克（履带式装甲战斗车辆）	Q4854
垂直结构	Q4855
垂直运动	Q4856
垄断企业	Q4857
垄断性竞争	Q4858
垒球	Q4859
垓下之战	Q4860
埃兰（伊朗古文明）	Q4861
埃利克·阿克塞尔·卡尔费尔德	Q4862
埃利奥特（漫画《潘多拉之心》中人物）	Q4863
埃及人（埃及人口占多数的民族）	Q4864
埃及文明	Q4865
埃及王国	Q4866
埃塞俄比亚	Q4867
埃尔顿·布兰德	Q4868
埃尔（古波斯传说中的半人半兽怪）	Q4869
埃德蒙德·胡塞尔	Q4870
埃拉托斯特尼	Q4871
埃斯库罗斯	Q4872
埃斯特雷马杜拉（西班牙中西部自治区）	Q4873
埃米尔·杜尔凯姆	Q4874
埃米尔（贵族头衔）	Q4875
埃达	Q4876
埃迪·拉马	Q4877
埃里克·阿比达尔	Q4878
埃隆·马斯克	Q4879
城中村（泛指都市里的村庄）	Q4880
城乡差距	Q4881
城子崖龙山文化遗址	Q4882
城市人口	Q4883
城市化进程	Q4884
城市化（人类社会具有现代城市特征之演化的历史过程）	Q4885
城市定位	Q4886
城市广场（城市公共建筑）	Q4887
城市总体规划	Q4888
城市景观	Q4889
城市绿化覆盖率	Q4890
城市群	Q4891
城市规划	Q4892
城市规划（专业学科名称）	Q4893
城市规模划分标准	Q4894
城市轨道交通	Q4895
城市（地理学名词）	Q4896
城濮	Q4897
城父镇	Q4898
城镇人口	Q4899
城镇化率	Q4900
城镇居民	Q4901
城镇居民医疗保险	Q4902
城际铁路	Q4903
城隍庙（明代散文家张岱所著散文）	Q4904
城隍庙（福建省平和县城隍庙）	Q4905
城隍（守护城池之神）	Q4906
埔里盆地群	Q4907
域名	Q4908
域扩张	Q4909
培拉特	Q4910
培根（猪肉烟熏肉制品）	Q4911
培训机构	Q4912
基因	Q4913
基因环境	Q4914
基因组学	Q4915
基因转录	Q4916
基尼系数	Q4917
基层党组织	Q4918
基数效用	Q4919
基数（数学术语）	Q4920
基本人权	Q4921
基本公共卫生服务	Q4922
基本单元（化学中基本单元）	Q4923
基本原则	Q4924
基本相互作用	Q4925
基本粒子（物理学名词）	Q4926
基本运算	Q4927
基督复临安息日会	Q4928
基督徒	Q4929
基督教	Q4930
基督教哲学	Q4931
基督教堂	Q4932
基督教教义	Q4933
基督教神学	Q4934
基石（音像制品）	Q4935
基础医学	Q4936
基础学科拔尖学生培养试验计划	Q4937
基础建设	Q4938
基础数学	Q4939
基础物理学	Q4940
基础科学研究	Q4941
基础设施建设	Q4942
基类	Q4943
基辅（乌克兰首都）	Q4944
基金	Q4945
基金会	Q4946
基隆屿	Q4947
基隆河	Q4948
基隆港	Q4949
基隆（台湾地名）	Q4950
基隆（台湾省北部城市）	Q4951
堆积作用	Q4952
堕胎（西医学名）	Q4953
堕落天使（1995年韩国sbs电视台制作电视剧）	Q4954
堪萨斯大学	Q4955
堪萨斯州	Q4956
堰闸	Q4957
塑胶	Q4958
塑身	Q4959
塔克拉玛干沙漠	Q4960
塔兰托	Q4961
塔吉克斯坦	Q4962
塔吉克族（高原塔吉克族（中国））	Q4963
塔塔尔族	Q4964
塔夫茨大学	Q4965
塔尔科特·帕森斯	Q4966
塔里木河（中国第一大内流河）	Q4967
塔里木盆地	Q4968
塘沽协定	Q4969
塞北	Q4970
塞尔维亚	Q4971
塞尔维亚语	Q4972
塞尼卡人	Q4973
塞班系统	Q4974
塞瓦斯托波尔	Q4975
填字游戏（字母语言国家益智类游戏）	Q4976
填星	Q4977
填海	Q4978
境外投资	Q4979
境界（术语）	Q4980
墓志铭（悼念文体的一种）	Q4981
增加值	Q4982
增生性骨关节病	Q4983
增福	Q4984
增长核算	Q4985
增长速度	Q4986
墨卡托	Q4987
墨子号量子科学实验卫星	Q4988
墨子（墨家学派创始人及主要代表人物）	Q4989
墨家（中国古代哲学派别）	Q4990
墨海书馆	Q4991
墨西哥（墨西哥合众国）	Q4992
士丹顿街	Q4993
士族	Q4994
士林夜市	Q4995
壬寅学制	Q4996
壬戌学制	Q4997
壮族	Q4998
壮游	Q4999
声学	Q5000
声学测量	Q5001
声波（《变形金刚》角色）	Q5002
处方	Q5003
处理信息	Q5004
备急千金要方	Q5005
复仇主义	Q5006
复合年均增长率	Q5007
复数（数的概念扩展）	Q5008
复方制剂	Q5009
复旦大学	Q5010
复杂度	Q5011
复杂性	Q5012
复杂理论	Q5013
复杂系统	Q5014
复调音乐	Q5015
复音音乐	Q5016
夏三月	Q5017
夏之时	Q5018
夏令营（一种文化活动）	Q5019
夏后氏	Q5020
夏商	Q5021
夏商周断代工程	Q5022
夏威夷共和国	Q5023
夏威夷岛	Q5024
夏威夷州	Q5025
夏威夷王国	Q5026
夏威夷语	Q5027
夏季奥林匹克运动会	Q5028
夏季季风	Q5029
夏季残疾人奥林匹克运动会	Q5030
夏季聋人奥林匹克运动会	Q5031
夏官	Q5032
夏家店文化	Q5033
夏川里美	Q5034
夏州（今陕西省古地名）	Q5035
夏政	Q5036
夏文化	Q5037
夏朝	Q5038
夏本纪	Q5039
夏民	Q5040
夏洛克·雪莉福德	Q5041
夏礼	Q5042
夏衍	Q5043
夏言	Q5044
夏鼐	Q5045
外丙	Q5046
外东北	Q5047
外事工作	Q5048
外事活动	Q5049
外交关系	Q5050
外交手段	Q5051
外交护照	Q5052
外交政策（一国进行外交活动的基本原则和行动方针）	Q5053
外交政策（美国人亨廷顿创办杂志）	Q5054
外交豁免权	Q5055
外交部发言人	Q5056
外交部街	Q5057
外兴安岭	Q5058
外务省	Q5059
外台秘要	Q5060
外商投资	Q5061
外商直接投资	Q5062
外围设备	Q5063
外国企业	Q5064
外国公司	Q5065
外国直接投资	Q5066
外壬	Q5067
外套（词语解释）	Q5068
外戚	Q5069
外接圆	Q5070
外族入侵	Q5071
外星生命	Q5072
外星生物	Q5073
外来人口	Q5074
外来文化	Q5075
外汇交易（各国间货币交换）	Q5076
外汇储备	Q5077
外汇市场（有价证券买卖市场）	Q5078
外汇收入	Q5079
外汇汇款	Q5080
外沙村（湖南省汝城县外沙乡下辖村）	Q5081
外流河	Q5082
外滩（上海外滩）	Q5083
外环线	Q5084
外白渡桥	Q5085
外科手术	Q5086
外籍配偶	Q5087
外膜	Q5088
外蒙古	Q5089
外蒙古独立	Q5090
外资银行	Q5091
外部性	Q5092
外骨骼	Q5093
多伦会盟	Q5094
多元主义	Q5095
多元文化	Q5096
多元论	Q5097
多党制	Q5098
多彩贵州（电视节目）	Q5099
多拉尔·海兰察	Q5100
多神教	Q5101
多米尼加共和国	Q5102
多线程	Q5103
多细胞生物	Q5104
多重性	Q5105
多重继承	Q5106
夜总会（夜生活娱乐场所）	Q5107
夜总会（张蓉蓉国语专辑）	Q5108
夜来香（多年生藤状缠绕草本植物）	Q5109
夜校	Q5110
夜郎古国（汉代西南夷中较大的一个部族）	Q5111
夜郎国	Q5112
大一统王朝	Q5113
大一统理论	Q5114
大上海计划	Q5115
大世界游乐场	Q5116
大东亚共荣圈	Q5117
大东亚战争	Q5118
大东海	Q5119
大中华区	Q5120
大中暂治	Q5121
大丰区	Q5122
大乘佛教	Q5123
大乘佛法	Q5124
大乘起信论	Q5125
大九湖国家湿地公园	Q5126
大亚湾核反应堆中微子实验	Q5127
大人物（古龙武侠小说）	Q5128
大众传播	Q5129
大众旅游	Q5130
大众汽车	Q5131
大众高尔夫（大众汽车1974年推出车型）	Q5132
大佬（日本2000年北野武执导电影）	Q5133
大元帅	Q5134
大元帅大本营	Q5135
大元帅府	Q5136
大元通制	Q5137
大公会议	Q5138
大公报	Q5139
大关（日本清酒品牌）	Q5140
大兴安岭	Q5141
大兴安岭地区	Q5142
大军阀	Q5143
大冶铁矿	Q5144
大凌河之战	Q5145
大刀进行曲	Q5146
大分水岭	Q5147
大医精诚	Q5148
大卫·休谟	Q5149
大卫·卡拉卡瓦	Q5150
大卫·李嘉图	Q5151
大卫·韦斯利	Q5152
大卫（北京语言大学学生会副主席）	Q5153
大卫（米开朗基罗雕塑作品）	Q5154
大厂回族自治县	Q5155
大号（铜管乐器）	Q5156
大司农	Q5157
大司马	Q5158
大同日报	Q5159
大同江（朝鲜境内河流）	Q5160
大同社会	Q5161
大名县	Q5162
大国手（2009年萧峰执导系列电影）	Q5163
大地水准面	Q5164
大地测量学	Q5165
大地湾文化	Q5166
大型客车	Q5167
大型强子对撞机	Q5168
大型机	Q5169
大型计算机	Q5170
大城市（城区常住人口100至500万的城市）	Q5171
大埔公路	Q5172
大埔区	Q5173
大埤乡	Q5174
大堡子山	Q5175
大夫	Q5176
大娄山	Q5177
大学教授（朱志荣著图书）	Q5178
大学本科	Q5179
大学衍义补	Q5180
大学（文献古籍曾子《大学》）	Q5181
大学（高等教育组织）	Q5182
大宅院	Q5183
大定府	Q5184
大富翁（棋牌游戏）	Q5185
大小和卓	Q5186
大小和卓叛乱	Q5187
大尺度	Q5188
大尺度纤维状结构	Q5189
大屠杀	Q5190
大屯火山群	Q5191
大岭山镇	Q5192
大峪沟（河南省巩义市东部山区）	Q5193
大帝国	Q5194
大广坝水库	Q5195
大庆油田	Q5196
大庆油田有限责任公司	Q5197
大庆萨尔图机场	Q5198
大庆（黑龙江省省辖市）	Q5199
大庆－广州高速公路	Q5200
大庾岭	Q5201
大开元寺	Q5202
大战（普通名词）	Q5203
大数据（巨量数据集合（it行业术语））	Q5204
大月薰	Q5205
大有（电动工具品牌名）	Q5206
大杂居小聚居	Q5207
大梁（战国时魏国都城）	Q5208
大棘城	Q5209
大气化学	Q5210
大气压强	Q5211
大气吸收	Q5212
大气环境	Q5213
大气环流	Q5214
大气科学（地球科学分支）	Q5215
大气窗口	Q5216
大气长波	Q5217
大汉溪	Q5218
大汶口文化（中国新石器时代文化）	Q5219
大法官（法官等级的一个等级）	Q5220
大洋洲	Q5221
大洋钻探计划	Q5222
大津巴布韦	Q5223
大洪水（远古时期洪水的故事）	Q5224
大洲	Q5225
大海航行靠舵手	Q5226
大清律例	Q5227
大灵猫	Q5228
大炼钢铁	Q5229
大爆炸宇宙论	Q5230
大理国	Q5231
大理白族自治州	Q5232
大白兔	Q5233
大码头	Q5234
大禹治水（中国国产动画片）	Q5235
大禹治水（历史典故）	Q5236
大秦铁路	Q5237
大索貌阅	Q5238
大红灯笼高高挂（1991年张艺谋执导电影）	Q5239
大肚台地	Q5240
大脑（生物学）	Q5241
大自然的语言（竺可桢文章）	Q5242
大航海时代（历史进程）	Q5243
大英博物馆（世界四大博物馆之一）	Q5244
大英帝国	Q5245
大蒙古国（成吉思汗建立的政权）	Q5246
大蒜（蒜类植物的统称）	Q5247
大街乡（河北大名县下辖乡）	Q5248
大衰退（历史事件）	Q5249
大袖	Q5250
大西政权	Q5251
大西洋宪章	Q5252
大计	Q5253
大豆	Q5254
大象（哺乳纲陆栖动物）	Q5255
