4781
.cn	I2
南朝宋	I1153
南村辍耕录	I1154
南沙群岛	I1155
南海岛屿	I1156
南海诸岛	I1157
南海（中华人民共和国管辖海域）	I1158
南美洲	I1159
南非共和国（非洲国家）	I1160
南齐书	I1161
博士（研究生学位）	I1162
博学家	I1163
博弈论（经济学学科分支）	I1164
博格曼	I1165
博雅教育（素质教育）	I1166
占星学	I1167
卡伦·霍妮	I1168
卡夫卡文学奖	I1169
卡尔·兰塞姆·罗杰斯	I1170
卡尔·古斯塔夫·荣格	I1171
卡尔·央斯基	I1172
卡尔·波普	I1173
卡尔·门格尔	I1174
卡尔·马克思（马克思主义创始人）	I1175
卡尔·马利亚·冯·韦伯	I1176
卡尔十六世·古斯塔夫	I1177
卡尔（游戏dota中的英雄）	I1178
卡拉ok	I1179
卡梅隆·安东尼	I1180
卢米埃尔兄弟	I1181
卫星云图	I1182
卫星地图	I1183
卫星定位技术	I1184
卫星导航	I1185
印刷技术（技术方法）	I1186
印刷术（印刷技术）	I1187
印加帝国	I1188
印度	I1189
印度哲学	I1190
印度尼西亚	I1191
危害	I1192
卸载	I1193
厄尔尼诺现象	I1194
历史唯物主义	I1195
历史学家（历史记录编纂者及历史材料研究者）	I1196
历史学（基础学科之一）	I1197
历史意识	I1198
历史比较法	I1199
历史社会学	I1200
历史绪论	I1201
原始宗教	I1202
原始资料	I1203
原子团	I1204
原子序数	I1205
原子晶格	I1206
原子核	I1207
原子物理学（物理学专业术语）	I1208
原子论	I1209
原子（物理概念）	I1210
原恒星	I1211
原行星	I1212
原行星盘	I1213
原语	I1214
厦门	I1215
厦门港	I1216
参与式观察	I1217
参军戏	I1218
参照系	I1219
友好城市	I1220
双名命名法	I1221
双头垄断	I1222
双核	I1223
双盲实验	I1224
双边关系	I1225
反分裂国家法	I1226
反右运动	I1227
反启蒙运动	I1228
反实证主义	I1229
反射望远镜	I1230
反思文学	I1231
反物质	I1232
反胃	I1233
发光二极管	I1234
发展中国家	I1235
发展心理学（研究心理发展规律的科学）	I1236
发展（哲学名词）	I1237
发达国家	I1238
受精卵	I1239
变差	I1240
变形记（卡夫卡创作中篇小说）	I1241
变态心理学（心理学分支学科）	I1242
古代数学	I1243
古代文明（文明类型）	I1244
古典制约	I1245
古典哲学	I1246
古典文献	I1247
古典时代	I1248
古典时代晚期	I1249
古典时期	I1250
古典社会学理论	I1251
古典经济学	I1252
古典经济学家	I1253
古典音乐	I1254
古印度	I1255
古埃及	I1256
古埃及文学	I1257
古天乐	I1258
古尔邦节	I1259
古希腊人	I1260
古希腊哲学家	I1261
古希腊哲学（哲学学说）	I1262
古希腊喜剧	I1263
古希腊天文学	I1264
古希腊悲剧	I1265
古希腊戏剧	I1266
古希腊文化	I1267
古希腊文学	I1268
古希腊（爱琴海-色雷斯文明圈的黄金时期）	I1269
古文尚书	I1270
古斯塔夫·基尔霍夫	I1271
古斯塔夫·拉德布鲁赫	I1272
古斯塔夫·霍尔斯特	I1273
古罗马	I1274
古诗	I1275
可执行文件	I1276
可持续性	I1277
可用性	I1278
可见性	I1279
可观测宇宙	I1280
可证伪性	I1281
台湾民主自治同盟	I1282
台湾海峡（位于亚欧大陆与台湾岛之间的海峡）	I1283
台湾（中华人民共和国所属地区）	I1284
史前史	I1285
史前学	I1286
史官	I1287
史蒂文·斯皮尔伯格（美国导演）	I1288
史蒂文·杰拉德	I1289
史蒂芬妮·多拉	I1290
史记	I1291
叶向高	I1292
叶天士	I1293
司令员	I1294
司南（中国古代辨别用仪器）	I1295
司法	I1296
司法制度	I1297
司法机关	I1298
司马迁（西汉史学家、散文家）	I1299
合同异	I1300
合唱（声乐演唱形式集体演唱）	I1301
合法行为	I1302
合理化作用	I1303
吉尔伽美什史诗	I1304
吉尔吉斯斯坦	I1305
吉林大学	I1306
吉林大学法学院	I1307
吉瓦（功率单位）	I1308
同位素	I1309
同位素化学	I1310
同名三角函数	I1311
同期增长	I1312
同步辐射	I1313
同治（清穆宗年号）	I1314
同源重组	I1315
同胚	I1316
同行评议制度	I1317
名人堂（btv-财经脱口秀电视节目）	I1318
名利场（英国电视剧）	I1319
名誉博士学位	I1320
名词	I1321
后凯恩斯学派	I1322
后勤学	I1323
后工业化	I1324
后期制作	I1325
后期重轰炸期	I1326
后现代主义	I1327
后缀	I1328
吏部尚书	I1329
吐鲁番（新疆地级市）	I1330
向量（数学用语）	I1331
君主论	I1332
吠陀	I1333
吠陀时代	I1334
听音乐	I1335
启蒙思想	I1336
启蒙时代（人类历史时代）	I1337
启蒙运动	I1338
吴建豪	I1339
吴汝纶	I1340
吴语（中国吴越地区语言文化）	I1341
吾晟赫	I1342
周善培	I1343
周恩来（无产阶级革命家）	I1344
周敦颐（北宋理学家）	I1345
周易（易经）	I1346
周朝（先秦朝代）	I1347
周期性失业	I1348
周瑜（东汉末年名将）	I1349
周达观	I1350
呼吸系统疾病	I1351
命名法	I1352
命理学	I1353
和声（韩国2010年康大奎执导电影）	I1354
和平共处五项原则	I1355
和平统一·一国两制	I1356
和弦（乐理概念）	I1357
和梅	I1358
哈佛大学	I1359
哈勃定律	I1360
哈密顿量	I1361
哈尔滨工业大学	I1362
哈曼国际	I1363
哈柏	I1364
哈罗德（美国喜剧电影）	I1365
哈肯	I1366
哈萨克斯坦	I1367
哈萨克语	I1368
哥伦比亚大学	I1369
哥伦比亚（哥伦比亚共和国）	I1370
哥德尔不完全性定理	I1371
哥德巴赫猜想（世界近代三大数学难题之一）	I1372
哲学	I1373
哲学命题	I1374
哲学心理学	I1375
哲学（世界观学说、社会意识形态之一）	I1376
唐容川	I1377
唐律	I1378
唐律疏议	I1379
唐朝（中国历史朝代）	I1380
唐纳德·赫布	I1381
唐老鸭	I1382
唯心主义	I1383
唯物主义	I1384
唯识论	I1385
唾液	I1386
商业	I1387
商品房（市场经济条件下出售、出租房屋）	I1388
商标	I1389
商鞅（先秦法家代表人物）	I1390
啮齿类	I1391
啸叫	I1392
喀喇昆仑山脉	I1393
喀拉拉邦	I1394
喀斯特	I1395
善与恶	I1396
喜剧（艺术类型）	I1397
喜帕恰斯	I1398
喜马拉雅山脉	I1399
器乐	I1400
四世纪	I1401
四个全面（中央战略布局）	I1402
四个现代化	I1403
四人帮（文化大革命期间所结成的帮派）	I1404
四元数	I1405
四大名著（中国古典长篇小说四大名著）	I1406
四大文学体裁	I1407
四大牧区	I1408
四川（中华人民共和国省级行政区）	I1409
四库全书	I1410
四库全书总目	I1411
四民月令	I1412
四科	I1413
四纵四横	I1414
四维时空	I1415
四色定理	I1416
四诊	I1417
四部医典	I1418
四项基本原则	I1419
回声测深仪	I1420
回族	I1421
回溯法	I1422
因变量	I1423
因变量（函数用语）	I1424
因果关系	I1425
因果决定论	I1426
团体动力学	I1427
园艺	I1428
固体力学	I1429
固体物理学	I1430
固定论	I1431
国体	I1432
国内市场	I1433
国内生产总值	I1434
国家中心城市	I1435
国家主义	I1436
国家体育场	I1437
国家区域中心城市	I1438
国家地理学会	I1439
国家机器（政治术语）	I1440
国家机构	I1441
国家游泳中心	I1442
国家资本主义	I1443
国家重点保护野生动物名录	I1444
国家预防腐败局	I1445
国庆节	I1446
国有企业改革	I1447
国歌（国家象征性歌曲）	I1448
国民革命	I1449
国民革命军	I1450
国籍	I1451
国防部长	I1452
国际企业	I1453
国际儿童节	I1454
国际关系	I1455
国际单位制	I1456
国际合作	I1457
国际商务单证员考试	I1458
国际政治	I1459
国际新闻（新华社电视节目）	I1460
国际标准化组织	I1461
国际汇率	I1462
国际法学（上海财经大学出版社出版书籍）	I1463
国际社会	I1464
国际社会学协会	I1465
国际纯粹与应用化学联合会	I1466
国际组织	I1467
国际经济学（指研究国际经济活动和国际经济关系）	I1468
国际货币体系	I1469
国际货币基金组织	I1470
国际贸易（商品和劳务的国际交换活动）	I1471
国际金融中心	I1472
国际金融学（金融学研究领域的分支）	I1473
图像处理（用计算机对图像进行处理的技术）	I1474
图像数据	I1475
图利奥	I1476
图灵奖	I1477
图灵机	I1478
图灵测试	I1479
圆形剧场	I1480
圆柏（植物）	I1481
圈层	I1482
土地使用	I1483
土地租赁	I1484
土地（土地利用规划学）	I1485
土地（地质学名词）	I1486
土壤化学	I1487
土壤圈（构成自然环境的五大圈之一）	I1488
土壤水	I1489
土家族	I1490
土星（太阳系八颗行星之一）	I1491
土木建筑	I1492
圣徒（3d动作类网游《龙之谷》中祭司的二转职业）	I1493
圣济总录	I1494
在一起（2010中国电影（纪录片））	I1495
在一起（2013年杨颖柯震东主演）	I1496
在一起（万卷出版公司出版图书）	I1497
在一起（羽泉演唱单曲）	I1498
地下实验室	I1499
地下水	I1500
地下经济	I1501
地图制图	I1502
地图制图学	I1503
地图学（一门科学）	I1504
地图投影	I1505
地图符号	I1506
地图（空间分布特性图纸）	I1507
地圆说	I1508
地外生物	I1509
地形图	I1510
地心说	I1511
地方戏	I1512
地热能	I1513
地球半径	I1514
地球历史	I1515
地球大气层	I1516
地球形状	I1517
地球物理学	I1518
地球环境	I1519
地球科学（基础学科）	I1520
地球重力	I1521
地球重力场	I1522
地球（太阳系八大行星之一）	I1523
地理位置	I1524
地理信息科学	I1525
地理信息系统	I1526
地理大发现	I1527
地理学家（名词）	I1528
地理学（学科分类）	I1529
地理科学（现代自然科学分支）	I1530
地理（地球科学学科的统称）	I1531
地级行政区	I1532
地质学	I1533
地质年代	I1534
地铁（城市轨道交通的种类）	I1535
地震（自然现象）	I1536
场论	I1537
均变论	I1538
均衡点	I1539
坍缩	I1540
坐标网	I1541
坡度	I1542
垂直运动	I1543
垄断性竞争	I1544
埃德蒙德·胡塞尔	I1545
埃拉托斯特尼	I1546
埃斯库罗斯	I1547
埃米尔·杜尔凯姆	I1548
埃米尔（贵族头衔）	I1549
埃达	I1550
埃里克·阿比达尔	I1551
城市人口	I1552
城市化（人类社会具有现代城市特征之演化的历史过程）	I1553
城市轨道交通	I1554
城镇居民	I1555
城镇居民医疗保险	I1556
培根（猪肉烟熏肉制品）	I1557
基因	I1558
基因环境	I1559
基因组学	I1560
基因转录	I1561
基数效用	I1562
基本单元（化学中基本单元）	I1563
基本原则	I1564
基本相互作用	I1565
基本粒子（物理学名词）	I1566
基督徒	I1567
基督教	I1568
基督教哲学	I1569
基督教教义	I1570
基督教神学	I1571
基石（音像制品）	I1572
基础医学	I1573
基础建设	I1574
基础数学	I1575
基础物理学	I1576
基础科学研究	I1577
基类	I1578
基金	I1579
堕胎（西医学名）	I1580
堕落天使（1995年韩国sbs电视台制作电视剧）	I1581
堪萨斯大学	I1582
堪萨斯州	I1583
塑身	I1584
塔克拉玛干沙漠	I1585
塔吉克斯坦	I1586
塔尔科特·帕森斯	I1587
塞尼卡人	I1588
填海	I1589
境界（术语）	I1590
增加值	I1591
增长核算	I1592
增长速度	I1593
墨卡托	I1594
墨子号量子科学实验卫星	I1595
墨子（墨家学派创始人及主要代表人物）	I1596
墨家（中国古代哲学派别）	I1597
墨海书馆	I1598
壮族	I1599
声学	I1600
声学测量	I1601
声波（《变形金刚》角色）	I1602
处方	I1603
处理信息	I1604
备急千金要方	I1605
复合年均增长率	I1606
复数（数的概念扩展）	I1607
复方制剂	I1608
复旦大学	I1609
复杂性	I1610
复杂理论	I1611
复杂系统	I1612
复调音乐	I1613
复音音乐	I1614
夏令营（一种文化活动）	I1615
夏季奥林匹克运动会	I1616
夏季残疾人奥林匹克运动会	I1617
夏本纪	I1618
外交关系	I1619
外交护照	I1620
外交政策（一国进行外交活动的基本原则和行动方针）	I1621
外交豁免权	I1622
外台秘要	I1623
外商直接投资	I1624
外国公司	I1625
外来文化	I1626
外汇储备	I1627
外汇汇款	I1628
外流河	I1629
外科手术	I1630
外部性	I1631
外骨骼	I1632
多元主义	I1633
多元文化	I1634
多线程	I1635
多细胞生物	I1636
多重性	I1637
多重继承	I1638
大一统理论	I1639
大东亚战争	I1640
大事年表	I1641
大众汽车	I1642
大兴安岭	I1643
大兴安岭地区	I1644
大分水岭	I1645
大医精诚	I1646
大卫·休谟	I1647
大卫·李嘉图	I1648
大卫（北京语言大学学生会副主席）	I1649
大卫（米开朗基罗雕塑作品）	I1650
大地水准面	I1651
大地测量学	I1652
大型强子对撞机	I1653
大城市（城区常住人口100至500万的城市）	I1654
大学教授（朱志荣著图书）	I1655
大学（高等教育组织）	I1656
大尺度	I1657
大尺度纤维状结构	I1658
大屠杀	I1659
大有（电动工具品牌名）	I1660
大气化学	I1661
大气压强	I1662
大气吸收	I1663
大气环流	I1664
大气科学（地球科学分支）	I1665
大气窗口	I1666
大气长波	I1667
大洋钻探计划	I1668
大津巴布韦	I1669
大爆炸宇宙论	I1670
大禹治水（中国国产动画片）	I1671
大禹治水（历史典故）	I1672
大红灯笼高高挂（1991年张艺谋执导电影）	I1673
大脑（生物学）	I1674
大自然的语言（竺可桢文章）	I1675
大航海时代（历史进程）	I1676
大赦国际	I1677
大跃进和人民公社	I1678
大连港	I1679
大都回回药物院	I1680
大量生产	I1681
天主教	I1682
天人合一（中国哲学思想）	I1683
天体化学	I1684
天体测量学	I1685
天体物理学（学科名）	I1686
天体生物学	I1687
天启宗教	I1688
天圆地方	I1689
天坛公园（北京—明清天坛公园）	I1690
天山	I1691
天文单位	I1692
天文学	I1693
天文摄影	I1694
天文物理学	I1695
天文现象	I1696
天文研究	I1697
天文航海	I1698
天文观测	I1699
天文钟	I1700
天气分析	I1701
天气现象	I1702
天气雷达	I1703
天气预报（最新天气状况的预测）	I1704
天气（自然现象）	I1705
天津港	I1706
天津（中华人民共和国直辖市）	I1707
天然气水合物	I1708
天然气（气体）	I1709
天王星（太阳系八大行星之一）	I1710
天竺（古印度）	I1711
天赋观念	I1712
太仓（江苏省苏州市下辖县级市）	I1713
太医令	I1714
太医局	I1715
太医署	I1716
太医院	I1717
太史公自序	I1718
太平圣惠方（太平圣惠方）	I1719
太平洋	I1720
太极拳（中国武术中的拳法）	I1721
太空望远镜	I1722
太空（地球大气层以外的宇宙空间）	I1723
太行山脉	I1724
太阳周期	I1725
太阳病	I1726
太阳系	I1727
太阳系外行星	I1728
太阳系行星	I1729
太阳能	I1730
太阳能发电	I1731
太阳能电池	I1732
太阳质量	I1733
太阳风（物理，天文名词）	I1734
太阳（太阳系的中心天体）	I1735
失业率	I1736
头痛	I1737
夸克（物理名词）	I1738
奇性定理	I1739
奇点（数学中的概念）	I1740
奇诺	I1741
契约法	I1742
契约自由	I1743
奥兰多·布鲁姆	I1744
奥利-约翰·达尔	I1745
奥卡姆的威廉	I1746
奥古斯特·孔德	I1747
奥地利	I1748
奥地利经济学派	I1749
奥妙（著名家化品牌）	I1750
奥尔森（美国经济学家和社会学家）	I1751
奥尔特云	I1752
奥尔胡斯大学	I1753
奥尔（德国足球运动员）	I1754
奥拉夫五世	I1755
奥斯陆	I1756
奥斯陆大学	I1757
奥维德	I1758
奥美拉唑	I1759
奥肯定律	I1760
女性主义	I1761
女性心理需求	I1762
女性文学	I1763
好奇（母婴用品品牌）	I1764
好莱坞（1923年美国电影）	I1765
妈勒访天边	I1766
妈祖（以中国东南沿海为中心信仰的海神）	I1767
妊娠期	I1768
妹控	I1769
威廉·冯特	I1770
威廉·哈维	I1771
威廉·詹姆斯	I1772
威廉·赫歇尔	I1773
威廉姆·斯坦利·杰文斯	I1774
威权主义	I1775
威海新北洋数码科技股份有限公司	I1776
威理博·斯涅尔	I1777
娱乐节目	I1778
娼优	I1779
娼妓（意义）	I1780
婉娜拉·宋提查	I1781
婴儿孤独症	I1782
婴儿死亡率	I1783
婴儿（小于1周岁的儿童）	I1784
媒介	I1785
子午圈	I1786
子系统	I1787
孔子（儒家学派创始人）	I1788
孔德（法国哲学家）	I1789
孔门十哲	I1790
字符串	I1791
字节码	I1792
存在主义	I1793
存在主义心理学	I1794
存在就是被感知	I1795
存在心理治疗	I1796
孙子兵法（中国古典军事文化著作）	I1797
孙思邈（药王）	I1798
孙武（中国春秋时期军事家）	I1799
孟子（儒家经典著作）	I1800
孤立国同农业和国民经济的关系	I1801
孤立系统	I1802
学习障碍	I1803
学位论文	I1804
学位课程	I1805
学士学位	I1806
学政	I1807
学术期刊	I1808
学术界（国内大型学术期刊）	I1809
学术研讨会	I1810
学术腐败	I1811
学派	I1812
学生会	I1813
学科（词语概念）	I1814
学者（名词解析）	I1815
学问（社科综合类期刊）	I1816
孪生质数	I1817
宁波舟山港	I1818
宇宙化学	I1819
宇宙大尺度结构	I1820
宇宙学家	I1821
宇宙射线	I1822
宇宙微波背景	I1823
宇宙星体	I1824
宇宙暴涨理论	I1825
宇宙背景辐射	I1826
宇宙论	I1827
宇宙（天文学名词）	I1828
守恒量	I1829
安以轩	I1830
安全标准	I1831
安全漏洞	I1832
安娜·弗洛伊德	I1833
安德烈·塔可夫斯基	I1834
安德烈·巴赞	I1835
安德烈·舍甫琴科	I1836
安德鲁·斯图尔特·塔能鲍姆	I1837
安德鲁（英国家族制中小型跨国企业）	I1838
安徽	I1839
安慰剂	I1840
安托万-洛朗·拉瓦锡	I1841
安提基特拉机械	I1842
安瑟伦	I1843
安迪·哈格	I1844
宋代理学	I1845
宋元时期	I1846
宋慈	I1847
宋明理学（儒家哲学思想体系的分支）	I1848
完全竞争	I1849
宏内核	I1850
宏观经济学（经济学流派）	I1851
宗教信仰	I1852
宗教团体	I1853
宗教改革	I1854
宗教自由	I1855
宗教音乐	I1856
定义	I1857
定位（品牌营销名词）	I1858
定律（理论规律）	I1859
定性	I1860
定性分析	I1861
定性研究	I1862
定量研究	I1863
实体法	I1864
实分析	I1865
实变函数（数学学科术语）	I1866
实时调度	I1867
实用主义（现代哲学派别）	I1868
实证主义	I1869
实证主义思潮	I1870
实证主义社会学	I1871
实证经济学	I1872
实际成本	I1873
实验室（进行试验的场所）	I1874
实验心理学（心理学学科分支）	I1875
实验法	I1876
实验物理	I1877
实验组	I1878
实验经济学	I1879
实验设计（心理学解释）	I1880
审美价值	I1881
客家语	I1882
客观世界	I1883
客观唯心主义	I1884
室女座	I1885
宪法保障	I1886
宪法学（以宪法为研究对象的一门法学学科）	I1887
宪法（法律名）	I1888
宫廷音乐	I1889
家庭、私有制和国家的起源	I1890
家庭主妇	I1891
家庭经济学	I1892
家庭（词语概念）	I1893
家（玛丽·哈维斯提克导演电影）	I1894
宾利欧陆	I1895
宾斯	I1896
宾语	I1897
宿命（俞新昌创作小说）	I1898
密宗（佛教宗派）	I1899
密歇根大学	I1900
密码学	I1901
富兰	I1902
寒温带针叶林	I1903
寡头垄断	I1904
对位法	I1905
对外投资	I1906
对外贸易额	I1907
对应原理	I1908
对我而言，可爱的她	I1909
对数	I1910
对比试验	I1911
对流层	I1912
对照实验	I1913
对称性破缺	I1914
对象管理组织	I1915
寻根文学	I1916
寻租行为	I1917
导出类	I1918
导弹驱逐舰	I1919
导演（职业名称）	I1920
寿命	I1921
封诊式	I1922
射电天文学	I1923
射电望远镜	I1924
小儿药证直诀	I1925
小写	I1926
小冰期	I1927
小分子	I1928
小名	I1929
小品	I1930
小学（进行初等教育的学校）	I1931
小康社会	I1932
小方脉	I1933
小罗伯特·卢卡斯	I1934
小群体	I1935
小行星带	I1936
小行星（环绕太阳运动的小天体）	I1937
小说（文学体裁）	I1938
小资产阶级	I1939
小针刀	I1940
少尉	I1941
少数民族	I1942
少数民族地区	I1943
少数民族节日	I1944
少阳病	I1945
尚书（中国古籍）	I1946
就业、利息和货币通论（2005年商务印书馆出版图书）	I1947
尹文（战国时期哲学家）	I1948
尺度（生态学概念）	I1949
尼古拉·哥白尼	I1950
尼古拉斯（多义引导）	I1951
尼可拉·路易·拉卡伊	I1952
尼可罗·马基亚维利	I1953
尼尔·伍德	I1954
尼斯（法国城市nice）	I1955
尼泊尔	I1956
尼罗河（牧友皮业的主打裘皮品牌）	I1957
局部均衡	I1958
居民	I1959
屠呦呦（诺贝尔医学奖获得者、药学家）	I1960
山东（中华人民共和国省级行政区）	I1961
山脉（地形地貌）	I1962
山西（中华人民共和国省级行政区）	I1963
岐伯	I1964
岩浆岩	I1965
岩石化学	I1966
峰会	I1967
嵌入式	I1968
巢元方	I1969
工业	I1970
工业体系	I1971
工业废水	I1972
工业革命（资本主义工业化过渡阶段）	I1973
工党（英国工党）	I1974
工农业总产值	I1975
工科	I1976
工程博士	I1977
工资水平	I1978
左丘明	I1979
左季云	I1980
巫山山脉	I1981
巫教	I1982
巫术（企图借助超自然神秘力量的方术）	I1983
巴基斯坦	I1984
巴塔尼	I1985
巴尔干化	I1986
巴普提斯特·贾比考尼	I1987
巴比伦人	I1988
巴比伦数学	I1989
巴比伦（美索不达米亚平原文明古国）	I1990
巴西（巴西联邦共和国）	I1991
巴门尼德	I1992
巴鲁赫·斯宾诺莎	I1993
巴黎和会	I1994
巴黎（法国首都）	I1995
市场力量	I1996
市场均衡	I1997
市场失灵	I1998
市场失灵理论	I1999
市场机制	I2000
市场的结构	I2001
市场经济	I2002
市场经济体制	I2003
市场需求	I2004
市民社会	I2005
布丹（近代西方宪政专家）	I2006
布依族	I2007
布克奖	I2008
布尔巴基学派	I2009
布拉（日本动漫《龙珠》系列中的角色）	I2010
布气	I2011
布莱克·莱弗利	I2012
布莱兹·帕斯卡	I2013
布达拉宫（中国西藏拉萨的宫堡式建筑群）	I2014
布里丹	I2015
布鲁斯·韦恩	I2016
布鲁斯特-戴维爵士	I2017
布鲁默	I2018
师带徒	I2019
希伯来语	I2020
希尔伯特空间	I2021
希尔伯特计划	I2022
希格斯玻色子	I2023
希波战争史	I2024
希波的奥古斯丁	I2025
希罗多德	I2026
希腊	I2027
希腊化时期	I2028
希腊城邦	I2029
希腊悲剧（古希腊悲剧艺术）	I2030
希腊戏剧	I2031
希腊神话（西方神话体系之一）	I2032
帕丽斯·希尔顿（美国模特、演员、歌手）	I2033
帕凡舞	I2034
帕洛阿托	I2035
帕米尔高原	I2036
带电粒子	I2037
带薪休假	I2038
席勒（英国哲学家）	I2039
常住人口	I2040
常务委员会	I2041
干草原	I2042
平均寿命	I2043
平均预期寿命	I2044
平板电脑	I2045
平移	I2046
平行宇宙（物理学术语）	I2047
平衡理论	I2048
平阳县（浙江省下辖县）	I2049
并行计算	I2050
并购重组	I2051
幸存者（罗马尼亚电影）	I2052
幽门螺杆菌	I2053
广东	I2054
广义相对论	I2055
广告片	I2056
广场舞	I2057
广州地铁	I2058
广州塔	I2059
广州港	I2060
广州湾	I2061
广州白云国际机场	I2062
广州（广东省省会）	I2063
广播体操	I2064
广播媒体	I2065
广西壮族自治区总工会	I2066
库尔特·哥德尔	I2067
库萨的尼古拉	I2068
应然法	I2069
应用化学（应化）	I2070
应用心理学（心理学学科分支）	I2071
应用数学（应用数学专业）	I2072
应用数学（数学学科分支）	I2073
应用物理学	I2074
应用研究	I2075
应用程序接口	I2076
应用程式	I2077
应用统计学（2011年人民邮电出版社出版书籍）	I2078
庞加莱猜想	I2079
废柴联盟（美国nbc电视台出品电视剧）	I2080
康德主义	I2081
康德（伪满洲国年号）	I2082
康慨（作家、出版人）	I2083
康普顿伽玛射线天文台	I2084
廉租房	I2085
廷巴克图（地理区域）	I2086
建材	I2087
建模	I2088
建筑设计（人民邮电出版图书）	I2089
开发者社区	I2090
开尔文（热力学温度单位）	I2091
开放源代码	I2092
开放系统	I2093
开斋节	I2094
引力场	I2095
引力扰动	I2096
引力波（物理概念）	I2097
引擎（发动机）	I2098
弗兰克尔	I2099
弗兰齐斯科·彼特拉克	I2100
弗朗茨·约瑟夫·海顿	I2101
弗朗西斯·培根（英国文艺复兴时期散文家、哲学家）	I2102
弗迪南·德·索绪尔	I2103
弗里乔夫·南森	I2104
弗里德里希·威廉·尼采（德国著名哲学家）	I2105
弗里德里希·威廉·贝塞尔	I2106
弗里德里希·恩格斯	I2107
弗里茨·哈伯	I2108
张之洞（晚清名臣、洋务派代表人物）	I2109
张从正	I2110
张仲景	I2111
张功耀	I2112
张协状元	I2113
张奚若	I2114
张景岳（明代著名医学家）	I2115
张柏芝	I2116
张百熙	I2117
张筱雨	I2118
张简斋	I2119
张若昀	I2120
张量（物理中力学名称）	I2121
张靓颖	I2122
弦理论	I2123
弧度测量	I2124
弯曲时空	I2125
弱相互作用	I2126
弹性体	I2127
弹性力学（固体力学的重要分支）	I2128
强制执行（法律术语）	I2129
强子对撞机	I2130
强直性脊柱炎	I2131
归因	I2132
归宿感	I2133
归纳逻辑	I2134
当事人（民事诉讼）	I2135
当代社会学理论	I2136
录音	I2137
彗星（太阳系中的一类小天体）	I2138
彝族	I2139
彝族火把节	I2140
形式化方法	I2141
形式科学	I2142
形式语言	I2143
形而上学（亚里士多德著作）	I2144
形而上学（哲学的一个门类）	I2145
形而上（哲学名词）	I2146
彩瓷	I2147
彩砖	I2148
彼得·诺尔	I2149
彼得·阿伯拉	I2150
很久以前（烧烤店品牌）	I2151
律师（1933年威廉·惠勒执导电影）	I2152
律诗	I2153
徐寿	I2154
徐闻县	I2155
徐霞客	I2156
微信小程序	I2157
微分几何（数学分支学科之一）	I2158
微电影（名词解释）	I2159
微积分（数学概念）	I2160
微观经济学（经济学学科）	I2161
德云社	I2162
德国古典哲学	I2163
德国唯心主义	I2164
德国社会学	I2165
德国（德意志联邦共和国）	I2166
德天使	I2167
德尼·狄德罗	I2168
德意志人	I2169
德沃扎克	I2170
德谟克利特	I2171
心学	I2172
心态	I2173
心理健康（手机软件）	I2174
心理动力学	I2175
心理发展	I2176
心理学专业	I2177
心理学派	I2178
心理学研究	I2179
心理学研究方法	I2180
心理学（学科名称）	I2181
心理服务	I2182
心理治疗	I2183
心理活动	I2184
心理测评	I2185
心理状态	I2186
心理过程	I2187
心理适应	I2188
必应	I2189
忠实粉丝	I2190
快乐原则	I2191
快板书	I2192
快速傅里叶变换	I2193
怀俄明州	I2194
怀圣寺	I2195
怀疑主义	I2196
态度（心理学名词）	I2197
思想自由	I2198
思维方式	I2199
思维（人用头脑进行逻辑推导的属性、能力和过程）	I2200
性别角色	I2201
性取向	I2202
怪诞	I2203
总而言之第一季	I2204
总装机容量	I2205
总质量	I2206
恐怖主义	I2207
恐怖片	I2208
恐怖组织	I2209
恐怖袭击（极端分子人为制造不符合国际道义的攻击方式）	I2210
恐龙（蜥形纲史前动物）	I2211
恒星形成	I2212
恒星演化	I2213
悦己	I2214
悲剧的诞生	I2215
情感（心理学用词）	I2216
惜今	I2217
惠子	I2218
惠特利	I2219
惰性中微子	I2220
意大利（意大利共和国）	I2221
意志主义	I2222
意思（社交平台）	I2223
意识与潜意识	I2224
意识流	I2225
感光耦合元件	I2226
感官	I2227
感应器	I2228
慎到	I2229
慕尼黑大学	I2230
戈壁（戈壁沙漠）	I2231
戈特弗里德·威廉·莱布尼茨	I2232
戏剧情节	I2233
戏剧理论	I2234
戏剧艺术	I2235
戏剧表演	I2236
戏剧（中央戏剧学院cssci扩展来源期刊）	I2237
戏剧（舞台表演艺术）	I2238
戏子（2016年韩国sbs电视台水木剧）	I2239
戏曲剧种	I2240
戏曲艺术（中国戏曲艺术）	I2241
戏班	I2242
成人教育	I2243
成本	I2244
成本差异	I2245
成本效益分析	I2246
成本目标	I2247
成熟阶段	I2248
成都（四川省省会）	I2249
我不知道（歌曲）	I2250
我思故我在（笛卡尔的哲学命题）	I2251
我是歌手（湖南卫视综艺节目）	I2252
战争（矛盾斗争表现的最高形式与暴力手段）	I2253
战国策（中国古代史学名著、国别体史书）	I2254
战国（中国历史时期）	I2255
战狼ⅱ	I2256
战略伙伴关系	I2257
战略布局	I2258
战略轰炸机	I2259
战略进攻	I2260
戚百草	I2261
戴姆勒-克莱斯勒公司	I2262
戴德生（清末英国来华传教士）	I2263
戴维·希尔伯特	I2264
户籍制度	I2265
房价收入比	I2266
所以……和黑粉结婚了	I2267
所有格	I2268
扁鹊	I2269
扁鹊（古代神医）	I2270
